,site_name,address,city,long,lat,county,phone,website,status
20,Friends Food & Liqour,343 E 10th St,Gilroy,-121.56218,37.001373,Santa Clara,(408) 848-4200,No website listed,OPERATIONAL
21,Walmart Neighborhood Market 2486,4080 Stevens Creek Blvd,San Jose,-121.97323,37.323132,Santa Clara,(408) 556-4505,https://www.walmart.com/store/2486/san-jose-ca/details,OPERATIONAL
22,One Stop Market,1493 E Bayshore Rd,East Palo Alto,-122.14421999999999,37.462875,Santa Clara,(650) 321-4146,No website listed,OPERATIONAL
23,PANADERIA ORTIZ BAKERY,3826 7 Trees Blvd,San Jose,-121.83521,37.283997,Santa Clara,(408) 225-5013,No website listed,OPERATIONAL
24,7-Eleven 27768B,708 N Fair Oaks Ave,Sunnyvale,-122.01416,37.39151,Santa Clara,(408) 530-8290,https://www.7-eleven.com/locations/ca/sunnyvale/708-n-fair-oaks-ave-27768?yext=27768,OPERATIONAL
25,Morgan Hill Farmers Market,17300 Depot St,Morgan Hill,-121.65065,37.129078,Santa Clara,(800) 806-3276,http://www.cafarmersmkts.com/morgan-hill-farmers-market/,OPERATIONAL
26,Safeway 2948,645 San Antonio Rd,Mountain View,-122.11295,37.402306,Santa Clara,(650) 948-4533,https://local.safeway.com/safeway/ca/mountain-view/645-san-antonio-rd.html?utm_source=G&utm_medium=Maps&utm_campaign=G+Places,OPERATIONAL
27,SAFEWAY  1574,4950 Almaden Expy,San Jose,-121.87623,37.260216,Santa Clara,(408) 267-1200,https://local.safeway.com/safeway/ca/san-jose/4950-almaden-expy.html?utm_source=G&utm_medium=Maps&utm_campaign=G+Places,OPERATIONAL
28,7 Eleven Store 2367 39747A,1031 Leigh Ave,San Jose,-121.92156999999999,37.306129,Santa Clara,(408) 292-7676,https://www.7-eleven.com/locations/ca/san-jose/1031-leigh-ave-39747?yext=39747,OPERATIONAL
29,Mexico Bakery Inc. 1,2811 Story Rd,San Jose,-121.82406999999999,37.352856,Santa Clara,(408) 272-3838,https://mexico-bakery.business.site/,OPERATIONAL
30,7-Eleven 39411A,3145 S Bascom Ave,Campbell,-121.94083,37.266552000000004,Santa Clara,(408) 377-1831,http://www.7-eleven.com/?yext=39411,OPERATIONAL
31,Apna Bazar,1111 W El Camino Real,Sunnyvale,-122.05346999999999,37.373154,Santa Clara,(408) 746-5966,http://www.apnabazar.com/,OPERATIONAL
32,Great America Shell 172,5390 Great America Pkwy,Santa Clara,-121.97781,37.410065,Santa Clara,(408) 982-9040,https://find.shell.com/us/fuel/10013534-5390-great-america-pkwy,OPERATIONAL
33,Lion Foods Llc,2217 Quimby Rd,San Jose,-121.81143,37.32325,Santa Clara,(408) 270-8288,http://www.frescosupermarket.com/,OPERATIONAL
34,Quick N Easy,8429 Murray Ave,Gilroy,-121.56958999999999,37.022015,Santa Clara,(408) 847-4543,No website listed,OPERATIONAL
35,Mi Ranchito Produce,259 E Maude Ave,Sunnyvale,-122.02386000000001,37.38755,Santa Clara,(408) 245-1500,No website listed,OPERATIONAL
36,Nob HIll 636,3555 Monroe St,Santa Clara,-121.99441999999999,37.36692,Santa Clara,(408) 557-0115,https://www.raleys.com/stores/nob-hill-foods-monroe-santa-california/,OPERATIONAL
37,Lunardi's Market 10,2666 S Bascom Ave,San Jose,-121.93471000000001,37.273472,Santa Clara,(408) 377-6661,https://www.lunardis.com/,OPERATIONAL
38,Lundy Liquor Inc,964 Lundy Ave,San Jose,-121.87272,37.373585,Santa Clara,(408) 923-2900,No website listed,OPERATIONAL
39,7-Eleven 23866 E,780 N Winchester Blvd,San Jose,-121.9502,37.329781,Santa Clara,(408) 985-2916,https://www.7-eleven.com/locations/ca/san-jose/780-n.-winchester-blvd-23866?yext=23866,OPERATIONAL
40,Stop-N-Buy 2,175 S Capitol Ave,San Jose,-121.83323999999999,37.359715,Santa Clara,(408) 251-6786,http://www.stopnbuysanjose.com/,OPERATIONAL
41,Chevron 1776,1151 Tully Rd,San Jose,-121.83707,37.314934,Santa Clara,(408) 286-0406,http://www.chevronwithtechron.com/station/1151-Tully-Rd-San-Jose-CA-95122-id92780,OPERATIONAL
42,First Mart,3730 N 1st St,San Jose,-121.94627,37.410545,Santa Clara,(408) 435-8424,No website listed,OPERATIONAL
43,Hyde Park U Save Liquors,1330 N 1st St,San Jose,-121.90861000000001,37.360668,Santa Clara,(408) 453-3035,No website listed,OPERATIONAL
44,Familia Foods,3851 7 Trees Blvd,San Jose,-121.83305,37.283607,Santa Clara,(408) 227-8725,https://familia-foods-market.business.site/,OPERATIONAL
45,Taj Mahal 2,933 E Duane Ave,Sunnyvale,-122.00334,37.388447,Santa Clara,(408) 962-0477,http://www.tajmahalfreshmarket.com/,OPERATIONAL
46,El Charrito Market,7638 Monterey St,Gilroy,-121.57033999999999,37.010567,Santa Clara,(408) 842-3659,https://www.elcharritomarket.com/,OPERATIONAL
47,MY GOODS MARKET 5442,7022 Santa Teresa Blvd,San Jose,-121.77631000000001,37.226555,Santa Clara,(408) 225-7313,http://www.mygoodsmarket.com/,OPERATIONAL
48,Safeway 3241,950 W Hamilton Ave,Campbell,-121.96651999999999,37.294125,Santa Clara,(408) 871-1272,https://local.safeway.com/safeway/ca/campbell/950-w-hamilton-ave.html?utm_source=G&utm_medium=Maps&utm_campaign=G+Places,OPERATIONAL
49,Silver Creek Shell 178,5801 Silver Creek Valley Rd,San Jose,-121.7795,37.276684,Santa Clara,(408) 238-7348,https://find.shell.com/us/fuel/12616028-5801-silver-creek-valley-rd,OPERATIONAL
50,Indo-pak Halal Market,1729 Berryessa Rd,San Jose,-121.87248000000001,37.374538,Santa Clara,(408) 729-4929,No website listed,OPERATIONAL
51,FOOD MAXX  460,1539 Parkmoor Ave,San Jose,-121.91488000000001,37.316708,Santa Clara,(408) 287-5377,http://locations.foodmaxx.com/ll/US/CA/San-Jose/1539-Parkmoor-Avenue,OPERATIONAL
52,Neighborhood Gas Mart,8445 Cabrillo Hwy,Montara,-122.51621000000002,37.541744,Santa Clara,(650) 728-5415,No website listed,OPERATIONAL
53,"Lucky 7 King, Inc. 3",398 S King Rd,San Jose,-121.84858999999999,37.345638,Santa Clara,(408) 254-4500,http://www.lucky7super.com/,OPERATIONAL
54,Rose Market,1250 E Santa Clara St,San Jose,-121.86603000000001,37.347823999999996,Santa Clara,(408) 998-7124,No website listed,OPERATIONAL
55,Carniceria La Sorpresa,311B Moffett Blvd,Mountain View,-122.07618000000001,37.397888,Santa Clara,No formatted_phone_number listed,No website listed,No business_status listed
56,Guadalajara Market,829 Borregas Ave,Sunnyvale,-122.02291000000001,37.397022,Santa Clara,(408) 734-9621,No website listed,OPERATIONAL
57,Walgreens 689,121 E El Camino Real,Mountain View,-122.07225,37.379921,Santa Clara,(650) 961-7555,https://www.walgreens.com/locator/walgreens-121+e+el+camino+real-mountain+view-ca-94040/id=689,OPERATIONAL
58,Paul's Imperio Liquors  2,134 E San Salvador St,San Jose,-121.88336000000001,37.331238,Santa Clara,(408) 490-4898,http://www.bevstore.com/,OPERATIONAL
59,Willow Glen Way Market,450 Willow Glen Way,San Jose,-121.88043,37.304005,Santa Clara,(408) 265-3540,No website listed,OPERATIONAL
60,El dorado Liquor & Market,449 Keyes St,San Jose,-121.86906,37.324139,Santa Clara,(408) 297-2666,No website listed,OPERATIONAL
61,Safeway Community Market 2454,690 Fremont Ave,Los Altos,-122.09676,37.360451,Santa Clara,(650) 948-6648,https://local.andronicos.com/ca/los-altos/690-fremont-ave.html,OPERATIONAL
62,NEW WING YUAN MARKET,1139 N Lawrence Expy,Sunnyvale,-121.99592,37.397301,Santa Clara,No formatted_phone_number listed,No website listed,OPERATIONAL
63,Paps Hecker Pass Liquor 0,221 1st St,Gilroy,-121.57531000000002,37.013828000000004,Santa Clara,(669) 239-0934,No website listed,OPERATIONAL
64,Pauls Imperio Liquor & Taqueria,203 S King Rd,San Jose,-121.85248999999999,37.349602000000004,Santa Clara,(408) 708-7108,http://www.bevstore.com/,OPERATIONAL
65,7-eleven Store 15952,596 N Abel St,Milpitas,-121.91068,37.436249,Santa Clara,(408) 493-6623,https://www.7-eleven.com/locations/ca/milpitas/596-north-abel-ave-15952?yext=15952,OPERATIONAL
66,Lucky 233,3457 McKee Rd,San Jose,-121.82738,37.380749,Santa Clara,(408) 937-6780,No website listed,OPERATIONAL
67,7-eleven 18445e 18445e,315 Saratoga Ave,Santa Clara,-121.96376000000001,37.330402,Santa Clara,(408) 261-3132,https://www.7-eleven.com/locations/ca/santa-clara/315-saratoga-ave-18445?yext=18445,OPERATIONAL
68,Smart & Final 451,1180 S King Rd,San Jose,-121.84148,37.338364,Santa Clara,(408) 251-0109,http://locations.smartandfinal.com/ca/san-jose/451/?utm_source=Google&utm_medium=Maps&utm_campaign=Google+Places,OPERATIONAL
69,7 Eleven 2367- 14288B,404 S 6th St,San Jose,-121.88056,37.332417,Santa Clara,(408) 899-4089,https://www.7-eleven.com/locations/ca/san-jose/404-south-sixth-st-14288?yext=14288,OPERATIONAL
70,Vraich Liquors,901 Vine St,San Jose,-121.88451,37.320060999999995,Santa Clara,(408) 287-1271,No website listed,OPERATIONAL
71,South San Jose Grocery Outlet 151,1665 Foxworthy Ave,San Jose,-121.90686000000001,37.270477,Santa Clara,(408) 440-5920,https://groceryoutlet.com/circulars/storeid/151,OPERATIONAL
72,New Seasons Market - Evergreen 1205,5667 Silver Creek Valley Rd,San Jose,-121.78,37.288387,Santa Clara,(408) 513-8200,https://www.newseasonsmarket.com/our-stores/evergreen/,OPERATIONAL
73,Westside Market and Liquor,1340G 1st St,Gilroy,-121.59663,37.013428000000005,Santa Clara,(408) 842-6399,No website listed,OPERATIONAL
74,SMART & FINAL 432,141 E El Camino Real,Mountain View,-122.07168999999999,37.379692,Santa Clara,(650) 962-1092,http://locations.smartandfinal.com/ca/mountain-view/432/?utm_source=Google&utm_medium=Maps&utm_campaign=Google+Places,OPERATIONAL
75,Sprouts Farmers Market 287,20558 Stevens Creek Blvd,Cupertino,-122.03322,37.322784000000006,Santa Clara,(408) 780-7748,https://sprouts.com/store/ca/cupertino/cupertino,OPERATIONAL
76,7 Eleven 14220G,1444 S Winchester Blvd,San Jose,-121.94985,37.297779,Santa Clara,(408) 374-2380,https://www.7-eleven.com/locations/ca/san-jose/1444-s.-winchester-blvd-14220?yext=14220,OPERATIONAL
77,Spartan Market,351 E William St,San Jose,-121.87733,37.332198999999996,Santa Clara,(408) 295-8227,No website listed,OPERATIONAL
78,Kaiser Santa Clara,710 Lawrence Expy,Santa Clara,-121.99582,37.335438,Santa Clara,(408) 554-9810,https://thrive.kaiserpermanente.org/care-near-you/northern-california/santaclara/departments/pediatric-specialty/,OPERATIONAL
79,Delizias Bakery Inc.,3975 Senter Rd,San Jose,-121.82426000000001,37.283581,Santa Clara,(408) 224-9907,https://deliziasbakery317.wixsite.com/deliziasbakery,OPERATIONAL
80,Olivera Egg Ranch Store,3315 Sierra Rd,San Jose,-121.84563999999999,37.400425,Santa Clara,(408) 258-8074,https://www.facebook.com/pages/Olivera-Egg-Ranch/148704361818528,OPERATIONAL
81,Bird Avenue Shell 18,395 Bird Ave,San Jose,-121.89967,37.323586,Santa Clara,(408) 289-8111,https://www.chevronwithtechron.com/station,OPERATIONAL
82,San Martin Market,13320 Depot St,San Martin,-121.60951999999999,37.085575,Santa Clara,(408) 683-4063,No website listed,OPERATIONAL
83,La Plaza Market 3,515 McLaughlin Ave,San Jose,-121.86193,37.341007,Santa Clara,(669) 272-0888,http://www.laplazasupermarket.com/,OPERATIONAL
84,GURU'S MARKET,148 GEORGE ST,SAN JOSE,-121.90136000000001,37.346806,Santa Clara,(408) 295-3344,No website listed,OPERATIONAL
85,TAK FOOD & LIQUOR,1091 McCreery Ave,San Jose,-121.84091000000001,37.342327000000004,Santa Clara,(408) 251-7363,No website listed,OPERATIONAL
86,Smart & Final 810,1290 W San Carlos St,San Jose,-121.91115,37.323383,Santa Clara,(408) 200-1523,http://locations.smartandfinal.com/ca/san-jose/810/?utm_source=Google&utm_medium=Maps&utm_campaign=Google+Places,OPERATIONAL
87,Dollar Tree 4681,2155 Tully Rd,San Jose,-121.81955,37.326813,Santa Clara,(408) 678-4181,https://www.dollartree.com/locations/ca/san-jose/4681/?utm_source=Google&utm_medium=Maps&utm_campaign=Google+Places,OPERATIONAL
88,Quick Henderson Market,1053 E El camino Real,Sunnyvale,-122.00435,37.352318,Santa Clara,(408) 247-3007,https://liquor-store-quick-henderson-market.business.site/,OPERATIONAL
89,Liquor And Grocery,4645 Cherry Ave,San Jose,-121.88503999999999,37.259979,Santa Clara,(408) 265-3925,No website listed,OPERATIONAL
90,Alma's Liquor & Grocery,148 W Alma Ave,San Jose,-121.87646000000001,37.314278,Santa Clara,(408) 287-5395,No website listed,OPERATIONAL
91,Wing Lee Fresh Poultry & Meat,1166 Tully Rd,San Jose,-121.83611,37.315289,Santa Clara,(408) 931-6558,No website listed,OPERATIONAL
92,Gonzalez Produce 1,1590 Berryessa Rd,San Jose,-121.8796,37.369144,Santa Clara,(408) 453-1110,http://www.sjfm.com/,OPERATIONAL
93,Los Altos Farmers Market,1 Second And State St,Los Altos,-122.11737,37.379169,Santa Clara,(925) 465-4690,http://cafarmersmkts.com/markets/category/los-altos-farmers-market,OPERATIONAL
94,"Fancy Foods, Inc.",2523 Winchester Blvd,Campbell,-121.95003,37.277313,Santa Clara,(408) 376-3766,No website listed,OPERATIONAL
95,Roadrunenr Petroleum Inc 01,1111 N Capitol Ave,San Jose,-121.86033,37.386162,Santa Clara,(669) 284-9932,https://www.chevronwithtechron.com/station/,OPERATIONAL
96,SAFEWAY  1293,2341 Winchester Blvd,Campbell,-121.94986999999999,37.280491,Santa Clara,(408) 364-6880,https://local.safeway.com/safeway/ca/campbell/2341-s-winchester-blvd.html?utm_source=G&utm_medium=Maps&utm_campaign=G+Places,OPERATIONAL
97,WALGREEN 4372,780 E Santa Clara St,San Jose,-121.87477,37.343636,Santa Clara,(408) 287-0600,https://www.walgreens.com/locator/walgreens-780+e+santa+clara+st-san+jose-ca-95112/id=4372,OPERATIONAL
98,Desi Bazar Desi Kitchen (my Bangla Bazar) Store-2,712 S Wolfe Rd,Sunnyvale,-122.01376,37.366023999999996,Santa Clara,(669) 214-5550,http://www.desikitchenus.com/,OPERATIONAL
99,WALGREENS 5480,1833 N Milpitas Blvd,Milpitas,-121.91139,37.456753000000006,Santa Clara,(408) 262-7774,https://www.walgreens.com/locator/walgreens-1833+n+milpitas+blvd-milpitas-ca-95035/id=5480,OPERATIONAL
100,Mapleleaf Liquor,1146 Saratoga Ave,San Jose,-121.97917,37.303963,Santa Clara,(408) 246-2870,No website listed,OPERATIONAL
101,Me-Kong Supermarket,777 E Capitol Ave,Milpitas,-121.88895,37.407825,Santa Clara,(408) 942-1777,No website listed,OPERATIONAL
102,Tropical Fruits,3005 Silver Creek Rd,San Jose,-121.8133,37.30986,Santa Clara,(408) 238-6868,No website listed,OPERATIONAL
103,The Citi Mini Market,1354 The Alameda,San Jose,-121.91333,37.332699,Santa Clara,(408) 279-2085,No website listed,OPERATIONAL
104,Quick Buy Market,2021 Homestead Rd,Santa Clara,-121.96007,37.343636,Santa Clara,(408) 246-6841,No website listed,OPERATIONAL
105,Desi International Market,1290 S Bascom Ave,San Jose,-121.93167,37.301769,Santa Clara,(408) 292-0878,No website listed,OPERATIONAL
106,Super Kyopo Plaza 1,3521 Homestead Rd,Santa Clara,-121.99426000000001,37.337856,Santa Clara,(408) 243-9005,No website listed,OPERATIONAL
107,SMART & FINAL 433,5281 Prospect Rd,San Jose,-121.99468999999999,37.292206,Santa Clara,(408) 517-8803,http://locations.smartandfinal.com/ca/san-jose/433/?utm_source=Google&utm_medium=Maps&utm_campaign=Google+Places,OPERATIONAL
108,Starlite Shell 35,1780 S Main St,Milpitas,-121.90285,37.404861,Santa Clara,No formatted_phone_number listed,No website listed,OPERATIONAL
109,MCKEE LIQUOR,3750 McKee Rd,San Jose,-121.83046999999999,37.378547999999995,Santa Clara,(408) 929-1111,No website listed,OPERATIONAL
110,7 Eleven 2236-14315g 14315G,708 Colorado Ave,Palo Alto,-122.1282,37.433147,Santa Clara,(650) 328-6369,https://www.7-eleven.com/locations/ca/palo-alto/708-colorado-ave-14315?yext=14315,OPERATIONAL
111,Bonfare Market 39,5251 Camden Ave,San Jose,-121.90561000000001,37.242573,Santa Clara,(408) 264-3339,http://www.bonfaremarkets.com/,OPERATIONAL
112,Dollar Tree 5488,3065 Meridian Ave,San Jose,-121.90545,37.269737,Santa Clara,(408) 826-3896,https://www.dollartree.com/locations/ca/san-jose/5488/?utm_source=Google&utm_medium=Maps&utm_campaign=Google+Places,OPERATIONAL
113,Safeway 2814,160 1st St,Los Altos,-122.11883999999999,37.3792,Santa Clara,(650) 941-1801,https://local.safeway.com/safeway/ca/los-altos/160-1st-st.html?utm_source=G&utm_medium=Maps&utm_campaign=G+Places,OPERATIONAL
114,7 Eleven Inc 14212C,3580 Monroe St,Santa Clara,-121.99502,37.366821,Santa Clara,(408) 984-1177,https://www.7-eleven.com/locations/ca/santa-clara/3580-monroe-st-14212?yext=14212,OPERATIONAL
115,Garden Market,1933 Pulgas Ave,East Palo Alto,-122.12993,37.455166,Santa Clara,(650) 323-7626,No website listed,OPERATIONAL
116,Morgan Hill Foods,225 W Main Ave,Morgan Hill,-121.65903999999999,37.127865,Santa Clara,(408) 779-2156,https://regionmarket.store/,OPERATIONAL
117,Namaste Plaza,1637 Hollenbeck Ave,Sunnyvale,-122.04256000000001,37.339290999999996,Santa Clara,(408) 738-9115,http://namastecart.com/,OPERATIONAL
118,BONFARE MARKET 11,408 W Capitol Expy,San Jose,-121.85023999999999,37.274433,Santa Clara,(408) 578-5688,http://www.bonfaremarkets.com/,OPERATIONAL
119,7 Eleven 2367-1740C,2335 Winchester Blvd,Campbell,-121.94986999999999,37.280704,Santa Clara,(408) 370-2055,https://www.7-eleven.com/locations/ca/campbell/2335-s.-winchester-blvd-17406?yext=17406,OPERATIONAL
120,7-eleven Store 16117D,5152 Monterey Hwy,San Jose,-121.81313,37.262215000000005,Santa Clara,(408) 225-2593,https://www.7-eleven.com/locations/ca/san-jose/5152-monterey-rd-16117?yext=16117,OPERATIONAL
121,Quik Stop Market 5034,2704 S Bascom Ave,San Jose,-121.93571000000001,37.272259000000005,Santa Clara,(408) 371-1160,http://www.quikstop.com/,OPERATIONAL
122,Walmart SuperCenter 5884,5095 Almaden Expy,San Jose,-121.87615,37.256878,Santa Clara,(408) 600-3072,https://www.walmart.com/store/5884/san-jose-ca/details,OPERATIONAL
123,Apatzingan Meat Market,7237 Monterey St,Gilroy,-121.56759,37.004326,Santa Clara,(408) 848-8222,No website listed,OPERATIONAL
124,AC Grocery,702 E Santa Clara St,San Jose,-121.87602,37.343037,Santa Clara,(650) 201-8618,No website listed,OPERATIONAL
125,Berryessa Farmers' Market,1376 Piedmont Rd,San Jose,-121.84891,37.403904,Santa Clara,(925) 825-9090,http://pcfma.org/,OPERATIONAL
126,Evergreen Farmers' Market,4055 Evergreen Village Sq,San Jose,-121.77356999999999,37.313686,Santa Clara,(925) 825-9090,http://pcfma.org/,OPERATIONAL
127,Discount Mini Mart 2,1587 Kooser Rd,San Jose,-121.90302,37.240520000000004,Santa Clara,(408) 445-9220,No website listed,OPERATIONAL
128,JT Liquors,2627 Senter Rd,San Jose,-121.84248000000001,37.302399,Santa Clara,(408) 295-3278,No website listed,OPERATIONAL
129,Milpitas Farmers' Market,525 Los Coches St,Milpitas,-121.89535,37.431377000000005,Santa Clara,(925) 825-9090,http://pcfma.org/,OPERATIONAL
130,San Jose Downtown Farmers' Market,18 N San Pedro St,San Jose,-121.89316000000001,37.335547999999996,Santa Clara,(408) 279-1775,http://sjdowntown.com/farmers-market-presented-by-kaiser-permanente/,OPERATIONAL
131,Santa Teresa Farmers' Market,6232 Santa Teresa Blvd,San Jose,-121.80163,37.237053,Santa Clara,(925) 825-9090,http://pcfma.org/,OPERATIONAL
132,Garlic Farm Food Centre 51,5920 Travel Park Cir,Gilroy,-121.5564,36.985034999999996,Santa Clara,(408) 847-9702,http://www.thegarlicfarm.com/location.html,OPERATIONAL
133,7 Eleven 2367 37256A,2230 Stevens Creek Blvd,San Jose,-121.9333,37.323254,Santa Clara,No formatted_phone_number listed,https://www.7-eleven.com/,OPERATIONAL
134,Petes Stop & Mini Mart,290 Keyes St,San Jose,-121.87218,37.322586,Santa Clara,(408) 995-5542,No website listed,OPERATIONAL
135,Dollar Tree 4978,199 E Middlefield Rd,Mountain View,-122.06187,37.397694,Santa Clara,(650) 386-4494,https://www.dollartree.com/locations/ca/mountain-view/4978/?utm_source=Google&utm_medium=Maps&utm_campaign=Google+Places,OPERATIONAL
136,4th & Santa Clara Chevron,147 E Santa Clara St,San Jose,-121.88763999999999,37.337616,Santa Clara,(408) 295-3964,https://www.chevronwithtechron.com/,OPERATIONAL
137,Walgreens 12548,1130 Foxworthy Ave,San Jose,-121.88103999999998,37.277706,Santa Clara,(408) 723-9905,https://www.walgreens.com/locator/walgreens-1130+foxworthy+ave-san+jose-ca-95118/id=12548,OPERATIONAL
138,Miami Liquor & Food 1,876 The Alameda,San Jose,-121.90722,37.331692,Santa Clara,(408) 982-3605,No website listed,OPERATIONAL
139,Y Market & Liquor,233 S White Rd,San Jose,-121.82526999999999,37.362789,Santa Clara,(408) 926-8800,https://y-market.business.site/,OPERATIONAL
140,Walgreens 2739,440 Blossom Hill Rd,San Jose,-121.83023,37.251202,Santa Clara,(408) 229-8013,https://www.walgreens.com/locator/walgreens-440+blossom+hill+rd-san+jose-ca-95123/id=2739,OPERATIONAL
141,Mj Market,1187 Redmond Ave,San Jose,-121.87318,37.229347,Santa Clara,(408) 268-5357,https://m-j-market.business.site/,OPERATIONAL
142,7 Eleven 14242D,57 S Park Victoria Dr,Milpitas,-121.88382,37.434048,Santa Clara,(408) 770-9248,https://www.7-eleven.com/locations/ca/milpitas/57-s.-park-victoria-14242?yext=14242,OPERATIONAL
143,King's Seafood Center Inc,425 E El Camino Real,Sunnyvale,-122.02819,37.364613,Santa Clara,(408) 749-8014,No website listed,OPERATIONAL
144,TAK MARKET & LIQUOR INC,698 N 3rd St,San Jose,-121.898,37.35006,Santa Clara,(408) 712-5463,No website listed,OPERATIONAL
145,Walmart Supercenter 2119,301 Ranch Dr,Milpitas,-121.91994,37.432354,Santa Clara,(408) 934-0304,https://www.walmart.com/store/2119/milpitas-ca/details,OPERATIONAL
146,Arteaga's Food Center,6906 Automall Pkwy,Gilroy,-121.5602,37.000370000000004,Santa Clara,(408) 847-7542,http://www.arteagas.com/,OPERATIONAL
147,7 Eleven 35644B,601 Bird Ave,San Jose,-121.89804,37.320038000000004,Santa Clara,(408) 971-1003,https://www.7-eleven.com/locations/ca/san-jose/601-bird-ave-35644?yext=35644,OPERATIONAL
148,Conasuper,3828 Seven Trees Blvd,San Jose,-121.83516000000002,37.283997,Santa Clara,(408) 677-0876,No website listed,OPERATIONAL
149,FOOD MAXX  461,1972 Tully Rd,San Jose,-121.82151999999999,37.325153,Santa Clara,(408) 270-2945,http://locations.foodmaxx.com/ll/US/CA/San-Jose/1972-Tully-Road,OPERATIONAL
150,Sprouts Farmers Market 271,630 San Antonio Rd,Mountain View,-122.11312,37.402195,Santa Clara,(650) 397-3001,https://sprouts.com/store/ca/mountain-view/mountain-view,OPERATIONAL
151,Bonfare Market 9,5489 Snell Ave,San Jose,-121.83097,37.253845,Santa Clara,(408) 229-1201,http://www.bonfaremarkets.com/,OPERATIONAL
152,Almaden/via Valiente Farmer Market,6902 Almaden Expy,San Jose,-121.84908,37.212337,Santa Clara,No formatted_phone_number listed,No website listed,CLOSED_TEMPORARILY
153,Sprouts Farmers Market 269,5205 Prospect Rd,San Jose,-121.99393,37.292088,Santa Clara,(408) 725-3970,https://sprouts.com/store/ca/san-jose/san-jose-prospect-rd,OPERATIONAL
154,Walgreens 13948,1905 W El Camino Real,Mountain View,-122.0963,37.392788,Santa Clara,(650) 967-3531,https://www.walgreens.com/locator/walgreens-1905+w+el+camino+real-mountain+view-ca-94040/id=13948,OPERATIONAL
155,7 Eleven 2367 15532E,3775 Williams Rd,San Jose,-121.96693,37.308495,Santa Clara,(408) 244-1471,https://www.7-eleven.com/locations/ca/san-jose/3775-williams-rd-15532?yext=15532,OPERATIONAL
