,attributes.OBJECTID,attributes.FACILITYID,attributes.INTID,attributes.SITENAME,attributes.SITEADDRESS,attributes.OPENDAYS,attributes.OPENTIMES,attributes.OPENDATES,attributes.MEALTYPES,attributes.SITETYPE,attributes.SITESTATUS,attributes.DESCRIPTION,attributes.PHONENUMBER,attributes.EMAIL,attributes.WEBLINK,attributes.CITYNAME,attributes.CITYCOUNCILDISTRICT,attributes.LASTUPDATE,attributes.LASTEDITOR,attributes.NOTES,attributes.ENTERPRISEID,attributes.DESCRIPTIONLONG,geometry.x,geometry.y
10,228,228,228,Westminster Presbyterian Church,1100 Shasta Ave. San Jose,,,,,Brown Bag,Closed,"Second Harvest and partner food programs vary significantly in terms of availability and eligibility, so it is best to contact the hotline to get more information about a particular site, 800-984-3663 or text GETFOOD to 408-455-5181.",1-800-984-3663,getfood@shfb.org,https://www.shfb.org/get-food,San Jose,6,1588636200000,FME,Source: Second Harvest,EOC-FDFS-0000000228,"Brown Bag Program distributes food to low-income seniors at various distribution sites throughout Santa Clara and San Mateo counties. Members receive a bi-monthly bag of groceries. The bag could include items such as fresh fruits and vegetables, rice, bread, eggs, chicken and much more. Members can pick up one bag per household from a Brown Bag site only. Applying for this program will not affect your ability to apply for other government benefits or local agencies. HOW DO I SIGN UP? Call Food Connection at 1-800-984-3663.",-13571423,4485573
11,229,229,229,Catholic Charities - John XXIII Senior Center,195 E. San Fernando St. San Jose,,,,,Brown Bag,Closed,"Second Harvest and partner food programs vary significantly in terms of availability and eligibility, so it is best to contact the hotline to get more information about a particular site, 800-984-3663 or text GETFOOD to 408-455-5181.",1-800-984-3663,getfood@shfb.org,https://www.shfb.org/get-food,San Jose,3,1588636200000,FME,Source: Second Harvest,EOC-FDFS-0000000229,"Brown Bag Program distributes food to low-income seniors at various distribution sites throughout Santa Clara and San Mateo counties. Members receive a bi-monthly bag of groceries. The bag could include items such as fresh fruits and vegetables, rice, bread, eggs, chicken and much more. Members can pick up one bag per household from a Brown Bag site only. Applying for this program will not affect your ability to apply for other government benefits or local agencies. HOW DO I SIGN UP? Call Food Connection at 1-800-984-3663.",-13568226.29,4486132.283
12,230,230,230,Girasol Apartments,1710 Alum Rock Ave. San Jose,,,,,Brown Bag,Closed,"Second Harvest and partner food programs vary significantly in terms of availability and eligibility, so it is best to contact the hotline to get more information about a particular site, 800-984-3663 or text GETFOOD to 408-455-5181.",1-800-984-3663,getfood@shfb.org,https://www.shfb.org/get-food,San Jose,5,1588636200000,FME,Source: Second Harvest,EOC-FDFS-0000000230,"Brown Bag Program distributes food to low-income seniors at various distribution sites throughout Santa Clara and San Mateo counties. Members receive a bi-monthly bag of groceries. The bag could include items such as fresh fruits and vegetables, rice, bread, eggs, chicken and much more. Members can pick up one bag per household from a Brown Bag site only. Applying for this program will not affect your ability to apply for other government benefits or local agencies. HOW DO I SIGN UP? Call Food Connection at 1-800-984-3663.",-13564653,4488338
13,231,231,231,St. Joseph's Family Center,7950 Church St. Suite A Gilroy,,,,,Multiservice,Closed,"Second Harvest and partner food programs vary significantly in terms of availability and eligibility, so it is best to contact the hotline to get more information about a particular site, 800-984-3663 or text GETFOOD to 408-455-5181.",1-800-984-3663,getfood@shfb.org,https://www.shfb.org/get-food,Gilroy,0,1588636200000,FME,Source: Second Harvest,EOC-FDFS-0000000231,"Multiple services available at this site, please call for details.",-13533691,4441231
14,232,232,232,Tzu Chi Foundation,2355 Oakland Rd. San Jose,,,,,Multiservice,Closed,"Second Harvest and partner food programs vary significantly in terms of availability and eligibility, so it is best to contact the hotline to get more information about a particular site, 800-984-3663 or text GETFOOD to 408-455-5181.",1-800-984-3663,getfood@shfb.org,https://www.shfb.org/get-food,San Jose,4,1588636200000,FME,Source: Second Harvest,EOC-FDFS-0000000232,"Multiple services available at this site, please call for details.",-13570291,4495396
15,233,233,233,Loaves & Fishes-St Maria Goretti Church,2980 Senter Road San Jose,,,,,Family Harvest,Closed,"Second Harvest and partner food programs vary significantly in terms of availability and eligibility, so it is best to contact the hotline to get more information about a particular site, 800-984-3663 or text GETFOOD to 408-455-5181.",1-800-984-3663,getfood@shfb.org,https://www.shfb.org/get-food,San Jose,7,1588636200000,FME,Source: Second Harvest,EOC-FDFS-0000000233,The Family Harvest Program distributes food to low-income families with dependent children at 17 sites in San Mateo County and 31 sites in Santa Clara County.,-13562556.51,4480581.611
16,234,234,234,Grant Elementary School,470 E. Jackson Street San Jose,,,,,Family Harvest,Closed,"Second Harvest and partner food programs vary significantly in terms of availability and eligibility, so it is best to contact the hotline to get more information about a particular site, 800-984-3663 or text GETFOOD to 408-455-5181.",1-800-984-3663,getfood@shfb.org,https://www.shfb.org/get-food,San Jose,3,1588636200000,FME,Source: Second Harvest,EOC-FDFS-0000000234,The Family Harvest Program distributes food to low-income families with dependent children at 17 sites in San Mateo County and 31 sites in Santa Clara County.,-13568548,4488180
17,235,235,235,Healthy Start Early Learning Center,1149 E. Julian Street San Jose,,,,,Family Harvest,Closed,"Second Harvest and partner food programs vary significantly in terms of availability and eligibility, so it is best to contact the hotline to get more information about a particular site, 800-984-3663 or text GETFOOD to 408-455-5181.",1-800-984-3663,getfood@shfb.org,https://www.shfb.org/get-food,San Jose,3,1588636200000,FME,Source: Second Harvest,EOC-FDFS-0000000235,The Family Harvest Program distributes food to low-income families with dependent children at 17 sites in San Mateo County and 31 sites in Santa Clara County.,-13566681,4488127
18,236,236,236,East Valley Pentecostal Church,2715 S. White Rd San Jose,,,,,Family Harvest,Closed,"Second Harvest and partner food programs vary significantly in terms of availability and eligibility, so it is best to contact the hotline to get more information about a particular site, 800-984-3663 or text GETFOOD to 408-455-5181.",1-800-984-3663,getfood@shfb.org,https://www.shfb.org/get-food,San Jose,8,1588636200000,FME,Source: Second Harvest,EOC-FDFS-0000000236,The Family Harvest Program distributes food to low-income families with dependent children at 17 sites in San Mateo County and 31 sites in Santa Clara County.,-13558466,4484780
19,237,237,237,Paseo Senter at Coyote Creek,1898 Senter Road San Jose,,,,,Family Harvest,Closed,"Second Harvest and partner food programs vary significantly in terms of availability and eligibility, so it is best to contact the hotline to get more information about a particular site, 800-984-3663 or text GETFOOD to 408-455-5181.",1-800-984-3663,getfood@shfb.org,https://www.shfb.org/get-food,San Jose,7,1588636200000,FME,Source: Second Harvest,EOC-FDFS-0000000237,The Family Harvest Program distributes food to low-income families with dependent children at 17 sites in San Mateo County and 31 sites in Santa Clara County.,-13564803,4483056
20,238,238,238,Columbia Neighborhood Center,785 Morse Avenue Sunnyvale,,,,,Family Harvest,Closed,"Second Harvest and partner food programs vary significantly in terms of availability and eligibility, so it is best to contact the hotline to get more information about a particular site, 800-984-3663 or text GETFOOD to 408-455-5181.",1-800-984-3663,getfood@shfb.org,https://www.shfb.org/get-food,Sunnyvale,0,1588636200000,FME,Source: Second Harvest,EOC-FDFS-0000000238,The Family Harvest Program distributes food to low-income families with dependent children at 17 sites in San Mateo County and 31 sites in Santa Clara County.,-13583221,4494191
21,239,239,239,Mountain View Hispanic Seventh-day Adventist Churc,342 Sierra Vista Ave. Mountain View,,,,,Family Harvest,Closed,"Second Harvest and partner food programs vary significantly in terms of availability and eligibility, so it is best to contact the hotline to get more information about a particular site, 800-984-3663 or text GETFOOD to 408-455-5181.",1-800-984-3663,getfood@shfb.org,https://www.shfb.org/get-food,Mountain View,0,1588636200000,FME,Source: Second Harvest,EOC-FDFS-0000000239,The Family Harvest Program distributes food to low-income families with dependent children at 17 sites in San Mateo County and 31 sites in Santa Clara County.,-13591067,4495910
22,240,240,240,San Jose Police Activities League,680 S. 34th Street San Jose,,,,,Produce Mobile,Closed,"Second Harvest and partner food programs vary significantly in terms of availability and eligibility, so it is best to contact the hotline to get more information about a particular site, 800-984-3663 or text GETFOOD to 408-455-5181.",1-800-984-3663,getfood@shfb.org,https://www.shfb.org/get-food,San Jose,5,1588636200000,FME,Source: Second Harvest,EOC-FDFS-0000000240,Produce Mobile provides fresh produce to families or individuals once a month at 21 sites in San Mateo County and 27 sites in Santa Clara County.,-13564196,4486962
23,241,241,241,Indian Health Center of Santa Clara County,602 E. Santa Clara Street San Jose,,,,,Produce Mobile,Closed,"Second Harvest and partner food programs vary significantly in terms of availability and eligibility, so it is best to contact the hotline to get more information about a particular site, 800-984-3663 or text GETFOOD to 408-455-5181.",1-800-984-3663,getfood@shfb.org,https://www.shfb.org/get-food,San Jose,3,1588636200000,FME,Source: Second Harvest,EOC-FDFS-0000000241,Produce Mobile provides fresh produce to families or individuals once a month at 21 sites in San Mateo County and 27 sites in Santa Clara County.,-13567378,4486914
24,242,242,242,Foothill Community Health Center,1650 S. White Road San Jose,,,,,Produce Mobile,Closed,"Second Harvest and partner food programs vary significantly in terms of availability and eligibility, so it is best to contact the hotline to get more information about a particular site, 800-984-3663 or text GETFOOD to 408-455-5181.",1-800-984-3663,getfood@shfb.org,https://www.shfb.org/get-food,San Jose,5,1588636200000,FME,Source: Second Harvest,EOC-FDFS-0000000242,Produce Mobile provides fresh produce to families or individuals once a month at 21 sites in San Mateo County and 27 sites in Santa Clara County.,-13559862,4487521
25,243,243,243,Boys & Girls Clubs of SV - Smythe Clubhouse,2195 Cunningham Avenue San Jose,,,,,Kids NOW,Closed,"Second Harvest and partner food programs vary significantly in terms of availability and eligibility, so it is best to contact the hotline to get more information about a particular site, 800-984-3663 or text GETFOOD to 408-455-5181.",1-800-984-3663,getfood@shfb.org,https://www.shfb.org/get-food,San Jose,8,1588636200000,FME,Source: Second Harvest,EOC-FDFS-0000000243,"Second Harvest Food Bank's Kids NOW Program meets the needs of hungry children and families by providing them with free, nutritious, and easy-to-prepare food to take home on weekends and over school vacations when other resources such as free or reduced-cost school lunches are not available.",-13561358,4485735
26,244,244,244,Rocketship Mateo Sheedy YMCA,788 Locust St. San Jose,,,,,Kids NOW,Closed,"Second Harvest and partner food programs vary significantly in terms of availability and eligibility, so it is best to contact the hotline to get more information about a particular site, 800-984-3663 or text GETFOOD to 408-455-5181.",1-800-984-3663,getfood@shfb.org,https://www.shfb.org/get-food,San Jose,3,1588636200000,FME,Source: Second Harvest,EOC-FDFS-0000000244,"Second Harvest Food Bank's Kids NOW Program meets the needs of hungry children and families by providing them with free, nutritious, and easy-to-prepare food to take home on weekends and over school vacations when other resources such as free or reduced-cost school lunches are not available.",-13568379,4484013
27,245,245,245,Scott Lane Elementary School,1925 Scott Blvd Santa Clara,,,,,Kids NOW,Closed,"Second Harvest and partner food programs vary significantly in terms of availability and eligibility, so it is best to contact the hotline to get more information about a particular site, 800-984-3663 or text GETFOOD to 408-455-5181.",1-800-984-3663,getfood@shfb.org,https://www.shfb.org/get-food,Santa Clara,0,1588636200000,FME,Source: Second Harvest,EOC-FDFS-0000000245,"Second Harvest Food Bank's Kids NOW Program meets the needs of hungry children and families by providing them with free, nutritious, and easy-to-prepare food to take home on weekends and over school vacations when other resources such as free or reduced-cost school lunches are not available.",-13576467,4489092
28,246,246,246,Montague Elementary School YMCA,750 Laurie Ave Santa Clara,,,,,Kids NOW,Closed,"Second Harvest and partner food programs vary significantly in terms of availability and eligibility, so it is best to contact the hotline to get more information about a particular site, 800-984-3663 or text GETFOOD to 408-455-5181.",1-800-984-3663,getfood@shfb.org,https://www.shfb.org/get-food,Santa Clara,0,1588636200000,FME,Source: Second Harvest,EOC-FDFS-0000000246,"Second Harvest Food Bank's Kids NOW Program meets the needs of hungry children and families by providing them with free, nutritious, and easy-to-prepare food to take home on weekends and over school vacations when other resources such as free or reduced-cost school lunches are not available.",-13575086,4493510
29,247,247,247,Abraham Lincoln High School,555 Dana Avenue San Jose,,,,,School Pantry,Closed,"Second Harvest and partner food programs vary significantly in terms of availability and eligibility, so it is best to contact the hotline to get more information about a particular site, 800-984-3663 or text GETFOOD to 408-455-5181.",1-800-984-3663,getfood@shfb.org,https://www.shfb.org/get-food,San Jose,6,1588636200000,FME,Source: Second Harvest,EOC-FDFS-0000000247,"Distributes free food, groceries, and perishable items to qualifying individuals. Please call for details specific to this site.",-13572716,4485029
30,248,248,248,Oak Grove High School,285 Blossom Hill Rd. San Jose,,,,,School Pantry,Closed,"Second Harvest and partner food programs vary significantly in terms of availability and eligibility, so it is best to contact the hotline to get more information about a particular site, 800-984-3663 or text GETFOOD to 408-455-5181.",1-800-984-3663,getfood@shfb.org,https://www.shfb.org/get-food,San Jose,2,1588636200000,FME,Source: Second Harvest,EOC-FDFS-0000000248,"Distributes free food, groceries, and perishable items to qualifying individuals. Please call for details specific to this site.",-13560930,4474573
31,249,249,249,Luther Burbank Elementary School,4 Wabash Avenue San Jose,,,,,School Pantry,Closed,"Second Harvest and partner food programs vary significantly in terms of availability and eligibility, so it is best to contact the hotline to get more information about a particular site, 800-984-3663 or text GETFOOD to 408-455-5181.",1-800-984-3663,getfood@shfb.org,https://www.shfb.org/get-food,San Jose,6,1588636200000,FME,Source: Second Harvest,EOC-FDFS-0000000249,"Distributes free food, groceries, and perishable items to qualifying individuals. Please call for details specific to this site.",-13572819,4484303
32,250,250,250,Latino College Preparatory Academy,14271 Story Rd San Jose,Daily,Noon - 1:00 PM,During COVID-19,Meal Program,Meal Program,Open,TFHE Student Lunch - Free Meal Service in the TFHE Auditorium/Multi-Purpose Building,1-800-984-3663,tmccluskey@tfhe.org,https://www.tfhe.org/apps/pages/COVID19Updates,San Jose,5,1588100485000,FME,Source: Email from Krishna,EOC-FDFS-0000000250,Nutritious prepared meals in Silicon Valley for people of all ages. Meals usually prepared and served on site at  specific days/times. Some locations delivering or distributing meals at the door of the site during COVID-19.,-13560387,4489262
33,251,251,251,Bachrodt Charter Academy,102 Sonora Avenue San Jose,,,,,School Pantry,Closed,"Second Harvest and partner food programs vary significantly in terms of availability and eligibility, so it is best to contact the hotline to get more information about a particular site, 800-984-3663 or text GETFOOD to 408-455-5181.",1-800-984-3663,getfood@shfb.org,https://www.shfb.org/get-food,San Jose,3,1588636200000,FME,Source: Second Harvest,EOC-FDFS-0000000251,"Distributes free food, groceries, and perishable items to qualifying individuals. Please call for details specific to this site.",-13571219,4489912
34,252,252,252,Sheppard Middle School,480 Rough and Ready Road San Jose,,,,,School Pantry,Closed,"Second Harvest and partner food programs vary significantly in terms of availability and eligibility, so it is best to contact the hotline to get more information about a particular site, 800-984-3663 or text GETFOOD to 408-455-5181.",1-800-984-3663,getfood@shfb.org,https://www.shfb.org/get-food,San Jose,5,1588636200000,FME,Source: Second Harvest,EOC-FDFS-0000000252,"Distributes free food, groceries, and perishable items to qualifying individuals. Please call for details specific to this site.",-13563520,4491449
35,253,253,253,Cogswell Polytechnical College,191 Baypointe Pkwy San Jose,,,,,College Pantry,Closed,"Second Harvest and partner food programs vary significantly in terms of availability and eligibility, so it is best to contact the hotline to get more information about a particular site, 800-984-3663 or text GETFOOD to 408-455-5181.",1-800-984-3663,getfood@shfb.org,https://www.shfb.org/get-food,San Jose,4,1588636200000,FME,Source: Second Harvest,EOC-FDFS-0000000253,"In order to address food insecurity within colleges, Second Harvest works with various colleges to run two types of distribution models.  One is called the “Just-in-Time” model where food is delivered monthly and distributed within a couple of hours. The second model is called an “On-Site” model where food is delivered weekly to the college for distribution to students. Nearly 330 students received fresh fruit, vegetables, canned food and other groceries, and the numbers have been increasing every month.",-13574354,4496926
36,254,254,254,Gavilan College,5055 Santa Teresa Blvd Gilroy,,,,,College Pantry,Closed,"Second Harvest and partner food programs vary significantly in terms of availability and eligibility, so it is best to contact the hotline to get more information about a particular site, 800-984-3663 or text GETFOOD to 408-455-5181.",1-800-984-3663,getfood@shfb.org,https://www.shfb.org/get-food,Unincorporated,0,1588636200000,FME,Source: Second Harvest,EOC-FDFS-0000000254,"In order to address food insecurity within colleges, Second Harvest works with various colleges to run two types of distribution models.  One is called the “Just-in-Time” model where food is delivered monthly and distributed within a couple of hours. The second model is called an “On-Site” model where food is delivered weekly to the college for distribution to students. Nearly 330 students received fresh fruit, vegetables, canned food and other groceries, and the numbers have been increasing every month.",-13532539,4435065
37,255,255,255,Evergreen Valley College,3095 Yerba Buena Rd San Jose,,,,,College Pantry,Closed,"Second Harvest and partner food programs vary significantly in terms of availability and eligibility, so it is best to contact the hotline to get more information about a particular site, 800-984-3663 or text GETFOOD to 408-455-5181.",1-800-984-3663,getfood@shfb.org,https://www.shfb.org/get-food,San Jose,8,1588636200000,FME,Source: Second Harvest,EOC-FDFS-0000000255,"In order to address food insecurity within colleges, Second Harvest works with various colleges to run two types of distribution models.  One is called the “Just-in-Time” model where food is delivered monthly and distributed within a couple of hours. The second model is called an “On-Site” model where food is delivered weekly to the college for distribution to students. Nearly 330 students received fresh fruit, vegetables, canned food and other groceries, and the numbers have been increasing every month.",-13553846,4482580
38,256,256,256,San Jose City College,2100 Moorpark Avenue San Jose,,,,,College Pantry,Closed,"Second Harvest and partner food programs vary significantly in terms of availability and eligibility, so it is best to contact the hotline to get more information about a particular site, 800-984-3663 or text GETFOOD to 408-455-5181.",1-800-984-3663,getfood@shfb.org,https://www.shfb.org/get-food,Unincorporated,6,1588636200000,FME,Source: Second Harvest,EOC-FDFS-0000000256,"In order to address food insecurity within colleges, Second Harvest works with various colleges to run two types of distribution models.  One is called the “Just-in-Time” model where food is delivered monthly and distributed within a couple of hours. The second model is called an “On-Site” model where food is delivered weekly to the college for distribution to students. Nearly 330 students received fresh fruit, vegetables, canned food and other groceries, and the numbers have been increasing every month.",-13572984,4483284
39,257,257,257,West Valley Community Services,10104 Vista Drive Cupertino,Monday - Friday,"8 am to 12 pm, 1 pm to 5 pm",Year Round except major holidays,Pantry,Pantry,Open,West Valley Community Services serves homeless and low-income individuals and families in the west valley communities.,"(408) 255-8033
",,https://www.wvcommunityservices.org/,Cupertino,0,1588636200000,FME,Source: City of Saratoga,EOC-FDFS-0000000257,"Distributes free food, groceries, and perishable items to qualifying individuals. Please call for details specific to this site.",-13584043,4484243
40,258,258,258,San Jose Ephesus Seventh Day Adventist Church,102 N. Ninth Street San Jose,,,,,Pantry,Open,"Second Harvest and partner food programs vary significantly in terms of availability and eligibility, so it is best to contact the hotline to get more information about a particular site, 800-984-3663 or text GETFOOD to 408-455-5181.",1-800-984-3663,getfood@shfb.org,https://www.shfb.org/get-food,San Jose,3,1588636200000,FME,Source: Second Harvest,EOC-FDFS-0000000258,"Distributes free food, groceries, and perishable items to qualifying individuals. Please call for details specific to this site.",-13567980,4486860
41,259,259,259,C.O.M.E.,121 East San Salvador St. San Jose,,,,,Pantry,Open,"Second Harvest and partner food programs vary significantly in terms of availability and eligibility, so it is best to contact the hotline to get more information about a particular site, 800-984-3663 or text GETFOOD to 408-455-5181.",1-800-984-3663,getfood@shfb.org,https://www.shfb.org/get-food,San Jose,3,1588636200000,FME,Source: Second Harvest,EOC-FDFS-0000000259,"Distributes free food, groceries, and perishable items to qualifying individuals. Please call for details specific to this site.",-13568002,4485388
42,260,260,260,Friendship Church of God in Christ,1654 East San Antonio St. San Jose,,,,,Pantry,Open,"Second Harvest and partner food programs vary significantly in terms of availability and eligibility, so it is best to contact the hotline to get more information about a particular site, 800-984-3663 or text GETFOOD to 408-455-5181.",1-800-984-3663,getfood@shfb.org,https://www.shfb.org/get-food,San Jose,5,1588636200000,FME,Source: Second Harvest,EOC-FDFS-0000000260,"Distributes free food, groceries, and perishable items to qualifying individuals. Please call for details specific to this site.",-13564706,4487804
43,261,261,261,Most Holy Trinity Catholic Church (Pantry),2040 Nassau Drive San Jose,Tuesday (beginning 4/14),TBD,,Pantry,Pantry,Open,Food program provided by a Faith-Based organization to the community,1-800-984-3663,,,San Jose,8,1588636200000,FME,Source: Second Harvest,EOC-FDFS-0000000261,"Distributes free food, groceries, and perishable items to qualifying individuals. Please call for details specific to this site.",-13561724.85,4485209.703
44,262,262,262,Community Services Agency,204 Stierlin Road Mountain View,,,,,Pantry,Open,"Second Harvest and partner food programs vary significantly in terms of availability and eligibility, so it is best to contact the hotline to get more information about a particular site, 800-984-3663 or text GETFOOD to 408-455-5181.",1-800-984-3663,getfood@shfb.org,https://www.shfb.org/get-food,Mountain View,0,1588636200000,FME,Source: Second Harvest,EOC-FDFS-0000000262,"Distributes free food, groceries, and perishable items to qualifying individuals. Please call for details specific to this site.",-13589718,4494594
45,263,263,263,Cathedral of Faith - Reaching Out,2315 Canoas Garden Road San Jose,,,,,Pantry,Open,"Second Harvest and partner food programs vary significantly in terms of availability and eligibility, so it is best to contact the hotline to get more information about a particular site, 800-984-3663 or text GETFOOD to 408-455-5181.",1-800-984-3663,getfood@shfb.org,https://www.shfb.org/get-food,San Jose,6,1588636200000,FME,Source: Second Harvest,EOC-FDFS-0000000263,"Distributes free food, groceries, and perishable items to qualifying individuals. Please call for details specific to this site.",-13566962,4479954
46,264,264,264,Sacred Heart Community Service,1381 South First St. San Jose,,,,,Pantry,Open,"Second Harvest and partner food programs vary significantly in terms of availability and eligibility, so it is best to contact the hotline to get more information about a particular site, 800-984-3663 or text GETFOOD to 408-455-5181.",1-800-984-3663,getfood@shfb.org,https://www.shfb.org/get-food,San Jose,3,1588636200000,FME,Source: Second Harvest,EOC-FDFS-0000000264,"Distributes free food, groceries, and perishable items to qualifying individuals. Please call for details specific to this site.",-13567063,4483288
47,265,265,265,Santa Maria Urban Ministry of San Jose,778 South Almaden Ave. San Jose,,,,,Pantry,Open,"Second Harvest and partner food programs vary significantly in terms of availability and eligibility, so it is best to contact the hotline to get more information about a particular site, 800-984-3663 or text GETFOOD to 408-455-5181.",1-800-984-3663,getfood@shfb.org,https://www.shfb.org/get-food,San Jose,3,1588636200000,FME,Source: Second Harvest,EOC-FDFS-0000000265,"Distributes free food, groceries, and perishable items to qualifying individuals. Please call for details specific to this site.",-13568165,4484167
48,266,266,266,St. Martin Of Tours Church,200 O'Connor Drive San Jose,Wednesday,1:00 PM - 4:00 PM,,Pantry,Pantry,Open,Food program provided by a Faith-Based organization to the community,1-800-984-3663,,,San Jose,6,1588636200000,FME,Source: Catholic Charaties of Santa Clara County,EOC-FDFS-0000000266,"Distributes free food, groceries, and perishable items to qualifying individuals. Please call for details specific to this site.",-13574238,4484364
