Name,Organization,id,Alternate Name,Description,locations,address,url,email,status,active,interpretation_services,application_process,service_options,payment_options,taxonomy,phones,schedule,med_area,legal_area,cash_area,dv_area,foodstamp_area,details,service_area,metadata
Irvington High School,Fremont Unified,4555,,"A weekly 22 lb. box of fresh fruit and vegetables, as well as shelf-stable grocery bags, will be added for families in addition to the Grab & Go meal.",41800 Blacow Rd,41800 Blacow Rd,,,,,,,,Free,Prepared Meals,,4555,,,,,,,,
Kennedy High School,Fremont Unified,4556,,"A weekly 22 lb. box of fresh fruit and vegetables, as well as shelf-stable grocery bags, will be added for families in addition to the Grab & Go meal.",39999 Blacow Rd,39999 Blacow Rd,,,,,,,,Free,Prepared Meals,,4556,,,,,,,,
Washington High School,Fremont Unified,4557,,"A weekly 22 lb. box of fresh fruit and vegetables, as well as shelf-stable grocery bags, will be added for families in addition to the Grab & Go meal.",38442 Fremont Blvd,38442 Fremont Blvd,,,,,,,,Free,Prepared Meals,,"45,574,871",,,,,,,,
Bombay Pizza,Fremont Unified,4558,,no details available,4922 Paseo Padre Parkway,4922 Paseo Padre Parkway,,,,,,,,Free,Prepared Meals,,4558,,,,,,,,
Curry Pizza House,Fremont Unified,4559,,no details available,39070 Fremont Blvd,39070 Fremont Blvd,,,,,,,,Free,Prepared Meals,,4559,,,,,,,,
Joe's Corner,Fremont Unified,4560,,no details available,37713 Niles Blvd,37713 Niles Blvd,,,,,,,,Free,Prepared Meals,,4560,,,,,,,,
Milk and Honey,Fremont Unified,4561,,no details available,34265 Fremont Blvd,34265 Fremont Blvd,,,,,,,,Free,Prepared Meals,,4561,,,,,,,,
Subway Sandwich,Fremont Unified,4562,,no details available,1980 Driscoll Rd,1980 Driscoll Rd,,,,,,,,Free,Prepared Meals,,4562,,,,,,,,
TECO Tea & Coffee Bar,Fremont Unified,4563,,no details available,39030 Paseo Padre Parkway,39030 Paseo Padre Parkway,,,,,,,,Free,Prepared Meals,,4563,,,,,,,,
Cherryland Elementary,Hayward Unified,4564,,NO identification is required.,456 Laurel Ave.,456 Laurel Ave.,,,,,,,,Free,Prepared Meals,,4564,,,,,,,,
Fairview Elementary,Hayward Unified,4565,,NO identification is required.,23515 Maud Ave.,23515 Maud Ave.,,,,,,,,Free,Prepared Meals,,"456,547,295,251",,,,,,,,
Hayward High School,Hayward Unified,4566,,NO identification is required.,1633 East Ave.,1633 East Ave.,,,,,,,,Free,Prepared Meals,,4566,,,,,,,,
Helen Turner Childrens' Center,Hayward Unified,4567,,NO identification is required.,23640 Reed Way,23640 Reed Way,,,,,,,,Free,Prepared Meals,,4567,,,,,,,,
Longwood Elementary,Hayward Unified,4568,,NO identification is required.,850 Longwood Ave.,850 Longwood Ave.,,,,,,,,Free,Prepared Meals,,4568,,,,,,,,
Mt. Eden High School,Hayward Unified,4569,,NO identification is required.,2300 Panama Street,2300 Panama Street,,,,,,,,Free,Prepared Meals,,4569,,,,,,,,
Park Elementary,Hayward Unified,4570,,NO identification is required.,411 Larchmont Street,411 Larchmont Street,,,,,,,,Free,Prepared Meals,,4570,,,,,,,,
Schafer Park Elementary,Hayward Unified,4571,,NO identification is required.,26268 Flamingo Ave.,26268 Flamingo Ave.,,,,,,,,Free,Prepared Meals,,4571,,,,,,,,
Chavez Middle School,Hayward Unified,4572,,NO identification is required.,27845 Whitman Street,27845 Whitman Street,,,,,,,,Free,Prepared Meals,,4572,,,,,,,,
Treeview Elementary,Hayward Unified,4573,,NO identification is required.,30565 Treeview Street,30565 Treeview Street,,,,,,,,Free,Prepared Meals,,4573,,,,,,,,
Tyrrell Elementary,Hayward Unified,4574,,NO identification is required.,27000 Tyrrell Ave.,27000 Tyrrell Ave.,,,,,,,,Free,Prepared Meals,,4574,,,,,,,,
Tennyson High School,Hayward Unified,4575,,NO identification is required.,27035 Whitman St,27035 Whitman St,,,,,,,,Free,Prepared Meals,,4575,,,,,,,,
Hayward Library,Hayward Unified,4576,,NO identification is required.,888 C street,888 C street,,,,,,,,Free,Prepared Meals,,4576,,,,,,,,
San Lorenzo Library,Hayward Unified,4577,,NO identification is required.,395 Paseo Grande,395 Paseo Grande,,,,,,,,Free,Prepared Meals,,4577,,,,,,,,
Alvarado Elementary School,New Haven Unified,4578,,Mondays(2 breakfasts and lunches) Wednesdays (3 breakfasts and lunches) Students MUST be present & bring grocery bag or cooler,31100 Fredi Street,31100 Fredi Street,,,,,,,,Free,Prepared Meals,,4578,,,,,,,,
Cesar Chavez Middle School,New Haven Unified,4579,,Mondays(2 breakfasts and lunches) Wednesdays (3 breakfasts and lunches) Students MUST be present & bring grocery bag or cooler,2801 Hop Ranch Road,2801 Hop Ranch Road,,,,,,,,Free,Prepared Meals,,4579,,,,,,,,
Hillview Crest Elem. School,New Haven Unified,4580,,Mondays(2 breakfasts and lunches) Wednesdays (3 breakfasts and lunches) Students MUST be present & bring grocery bag or cooler,31410 Wheelon Ave.,31410 Wheelon Ave.,,,,,,,,Free,Prepared Meals,,4580,,,,,,,,
James Logan High School,New Haven Unified,4581,,Mondays(2 breakfasts and lunches) Wednesdays (3 breakfasts and lunches) Students MUST be present & bring grocery bag or cooler,1800 H Street,1800 H Street,,,,,,,,Free,Prepared Meals,,4581,,,,,,,,
Newark Junior High School,Newark Unified,4582,,Children under 18 and child must be present,6201 Lafayette Ave,6201 Lafayette Ave,,,,,,,,Free,Prepared Meals,,4582,,,,,,,,
Central Kitchen,Newark Unified,4583,,Children under 18 and child does not need to be present,37370 Birch Street,37370 Birch Street,,,,,,,,Free,Prepared Meals,,4583,,,,,,,,
Schilling Elementary School,Newark Unified,4584,,Children under 18 and child must be present,36901 Spruce Street,36901 Spruce Street,,,,,,,,Free,Prepared Meals,,4584,,,,,,,,
Bret Harte Middle School,Oakland Unified,4585,,"Please note that Face Coverings are required. Food is ""grab & go;"" campuses are closed. Food is available to OUSD student or family or child under 18, free of charge. Child is NOT required to be present. Please bring a grocery bag or cooler to bring food home.",3700 Coolidge Ave,3700 Coolidge Ave,,,,,,,,Free,Prepared Meals,,4585,,,,,,,,
Castlemont High School,Oakland Unified,4586,,"Please note that Face Coverings are required. Food is ""grab & go;"" campuses are closed. Food is available to OUSD student or family or child under 18, free of charge. Child is NOT required to be present. Please bring a grocery bag or cooler to bring food home.",8601 MacArthur Blvd,8601 MacArthur Blvd,,,,,,,,Free,Prepared Meals,,4586,,,,,,,,
Coliseum College Prep Academy,Oakland Unified,4587,,"Please note that Face Coverings are required. Food is ""grab & go;"" campuses are closed. Food is available to OUSD student or family or child under 18, free of charge. Child is NOT required to be present. Please bring a grocery bag or cooler to bring food home.",1390 66th Ave,1390 66th Ave,,,,,,,,Free,Prepared Meals,,4587,,,,,,,,
East Oakland PRIDE,Oakland Unified,4588,,"Please note that Face Coverings are required. Food is ""grab & go;"" campuses are closed. Food is available to OUSD student or family or child under 18, free of charge. Child is NOT required to be present. Please bring a grocery bag or cooler to bring food home.",8000 Birch St,8000 Birch St,,,,,,,,Free,Prepared Meals,,4588,,,,,,,,
Elmhurst United Middle School,Oakland Unified,4589,,"Please note that Face Coverings are required. Food is ""grab & go;"" campuses are closed. Food is available to OUSD student or family or child under 18, free of charge. Child is NOT required to be present. Please bring a grocery bag or cooler to bring food home.",1800 98th Ave,1800 98th Ave,,,,,,,,Free,Prepared Meals,,4589,,,,,,,,
Esperanza Elementary School,Oakland Unified,4590,,"Please note that Face Coverings are required. Food is ""grab & go;"" campuses are closed. Food is available to OUSD student or family or child under 18, free of charge. Child is NOT required to be present. Please bring a grocery bag or cooler to bring food home.",10315 E St,10315 E St,,,,,,,,Free,Prepared Meals,,4590,,,,,,,,
Fremont High School,Oakland Unified,4591,,"Please note that Face Coverings are required. Food is ""grab & go;"" campuses are closed. Food is available to OUSD student or family or child under 18, free of charge. Child is NOT required to be present. Please bring a grocery bag or cooler to bring food home.",4610 Foothill Blvd,4610 Foothill Blvd,,,,,,,,Free,Prepared Meals,,4591,,,,,,,,
Frick Impact Academy,Oakland Unified,4592,,"Please note that Face Coverings are required. Food is ""grab & go;"" campuses are closed. Food is available to OUSD student or family or child under 18, free of charge. Child is NOT required to be present. Please bring a grocery bag or cooler to bring food home.",2845 64th Ave,2845 64th Ave,,,,,,,,Free,Prepared Meals,,4592,,,,,,,,
Horace Mann Elementary,Oakland Unified,4593,,"Please note that Face Coverings are required. Food is ""grab & go;"" campuses are closed. Food is available to OUSD student or family or child under 18, free of charge. Child is NOT required to be present. Please bring a grocery bag or cooler to bring food home.",5222 Ygnacio Ave,5222 Ygnacio Ave,,,,,,,,Free,Prepared Meals,,4593,,,,,,,,
Garfield Elementary School,Oakland Unified,4594,,"Please note that Face Coverings are required. Food is ""grab & go;"" campuses are closed. Food is available to OUSD student or family or child under 18, free of charge. Child is NOT required to be present. Please bring a grocery bag or cooler to bring food home.",1640 22nd Ave,1640 22nd Ave,,,,,,,,Free,Prepared Meals,,4594,,,,,,,,
Hoover Elementary School,Oakland Unified,4595,,"Please note that Face Coverings are required. Food is ""grab & go;"" campuses are closed. Food is available to OUSD student or family or child under 18, free of charge. Child is NOT required to be present. Please bring a grocery bag or cooler to bring food home.",890 Brockhurst St,890 Brockhurst St,,,,,,,,Free,Prepared Meals,,4595,,,,,,,,
"Life Academy -United for
Success Academy",,4596,,"Please note that Face Coverings are required. Food is ""grab & go;"" campuses are closed. Food is available to OUSD student or family or child under 18, free of charge. Child is NOT required to be present. Please bring a grocery bag or cooler to bring food home.",2101 35th Ave,2101 35th Ave,,,,,,,,Free,Prepared Meals,,,,,,,,,,
Madison Park Academy: Upper,"""""""Madison Park Academy, Upper""""""",4597,,"Please note that Face Coverings are required. Food is ""grab & go;"" campuses are closed. Food is available to OUSD student or family or child under 18, free of charge. Child is NOT required to be present. Please bring a grocery bag or cooler to bring food home.",400 Capistrano Dr,400 Capistrano Dr,,,,,,,,Free,Prepared Meals,,,,,,,,,,
Melrose Leadership Academy,Oakland Unified,4598,,"Please note that Face Coverings are required. Food is ""grab & go;"" campuses are closed. Food is available to OUSD student or family or child under 18, free of charge. Child is NOT required to be present. Please bring a grocery bag or cooler to bring food home.",4730 Fleming Ave,4730 Fleming Ave,,,,,,,,Free,Prepared Meals,,4598,,,,,,,,
New Highland/Rise Academy,Oakland Unified,4599,,"Please note that Face Coverings are required. Food is ""grab & go;"" campuses are closed. Food is available to OUSD student or family or child under 18, free of charge. Child is NOT required to be present. Please bring a grocery bag or cooler to bring food home.",8521 A St,8521 A St,,,,,,,,Free,Prepared Meals,,4599,,,,,,,,
Emerson Elementary,Oakland Unified,4600,,"Please note that Face Coverings are required. Food is ""grab & go;"" campuses are closed. Food is available to OUSD student or family or child under 18, free of charge. Child is NOT required to be present. Please bring a grocery bag or cooler to bring food home.",4803 Lawton Ave,4803 Lawton Ave,,,,,,,,Free,Prepared Meals,,4600,,,,,,,,
Oakland High School,Oakland Unified,4601,,"Please note that Face Coverings are required. Food is ""grab & go;"" campuses are closed. Food is available to OUSD student or family or child under 18, free of charge. Child is NOT required to be present. Please bring a grocery bag or cooler to bring food home.",1023 MacArthur Blvd,1023 MacArthur Blvd,,,,,,,,Free,Prepared Meals,,4601,,,,,,,,
Sankofa Elementary,Oakland Unified,4602,,"Please note that Face Coverings are required. Food is ""grab & go;"" campuses are closed. Food is available to OUSD student or family or child under 18, free of charge. Child is NOT required to be present. Please bring a grocery bag or cooler to bring food home.",581 61st St,581 61st St,,,,,,,,Free,Prepared Meals,,4602,,,,,,,,
Allendale Elementary,Oakland Unified,4603,,"Please note that Face Coverings are required. Food is ""grab & go;"" campuses are closed. Food is available to OUSD student or family or child under 18, free of charge. Child is NOT required to be present. Please bring a grocery bag or cooler to bring food home.",3670 Penniman Ave,3670 Penniman Ave,,,,,,,,Free,Prepared Meals,,4603,,,,,,,,
Bella Vista Elementary,Oakland Unified,4604,,"Please note that Face Coverings are required. Food is ""grab & go;"" campuses are closed. Food is available to OUSD student or family or child under 18, free of charge. Child is NOT required to be present. Please bring a grocery bag or cooler to bring food home.",1025 E 28th St,1025 E 28th St,,,,,,,,Free,Prepared Meals,,4604,,,,,,,,
La Escuelita,Oakland Unified,4605,,"Please note that Face Coverings are required. Food is ""grab & go;"" campuses are closed. Food is available to OUSD student or family or child under 18, free of charge. Child is NOT required to be present. Please bring a grocery bag or cooler to bring food home.",1050 2nd Ave,1050 2nd Ave,,,,,,,,Free,Prepared Meals,,4605,,,,,,,,
Manzanita SEED/Manzanita Community,Oakland Unified,4606,,"Please note that Face Coverings are required. Food is ""grab & go;"" campuses are closed. Food is available to OUSD student or family or child under 18, free of charge. Child is NOT required to be present. Please bring a grocery bag or cooler to bring food home.",2409 E 27th St,2409 E 27th St,,,,,,,,Free,Prepared Meals,,4606,,,,,,,,
Cleveland Elementary,Oakland Unified,4607,,"Please note that Face Coverings are required. Food is ""grab & go;"" campuses are closed. Food is available to OUSD student or family or child under 18, free of charge. Child is NOT required to be present. Please bring a grocery bag or cooler to bring food home.",745 Cleveland St,745 Cleveland St,,,,,,,,Free,Prepared Meals,,4607,,,,,,,,
West Oakland Middle School,Oakland Unified,4608,,"Please note that Face Coverings are required. Food is ""grab & go;"" campuses are closed. Food is available to OUSD student or family or child under 18, free of charge. Child is NOT required to be present. Please bring a grocery bag or cooler to bring food home.",991 14th St,991 14th St,,,,,,,,Free,Prepared Meals,,4608,,,,,,,,
Alisal Elementary School,Pleasanton Unified,4609,,Students are NOT required to be present/ Groceries on Fridays Submit this form https://tinyurl.com/u9vadan; friday weekend pickup,1454 Santa Rita Road,1454 Santa Rita Road,,,,,,,,Free,Prepared Meals,,4609,,,,,,,,
Lydiksen Elementary School,Pleasanton Unified,4610,,Students are NOT required to be present/ Groceries on Fridays Submit this form https://tinyurl.com/u9vadan; friday weekend pickup,7700 Highland Oaks Drive,7700 Highland Oaks Drive,,,,,,,,Free,Prepared Meals,,4610,,,,,,,,
Pleasanton Middle School,Pleasanton Unified,4611,,Students are NOT required to be present/ Groceries on Fridays Submit this form https://tinyurl.com/u9vadan; friday weekend pickup,5001 Case Avenue,5001 Case Avenue,,,,,,,,Free,Prepared Meals,,4611,,,,,,,,
Valley View Elementary School,Pleasanton Unified,4612,,Students are NOT required to be present/ Groceries on Fridays Submit this form https://tinyurl.com/u9vadan; friday weekend pickup,480 Adams Way,480 Adams Way,,,,,,,,Free,Prepared Meals,,4612,,,,,,,,
John Muir Middle School,San Leandro Unified,4613,,To-go boxed meals are free to all children 18 and under regardless of meal program eligibility during our closure,1444 Williams Street,1444 Williams Street,,,,,,,,Free,Prepared Meals,,4613,,,,,,,,
Monroe Elementary School,San Leandro Unified,4614,,To-go boxed meals are free to all children 18 and under regardless of meal program eligibility during our closure,3750 Monterey Boulevard,3750 Monterey Boulevard,,,,,,,,Free,Prepared Meals,,4614,,,,,,,,
San Leandro High School,San Leandro Unified,4615,,To-go boxed meals are free to all children 18 and under regardless of meal program eligibility during our closure,2200 Bancroft Ave,2200 Bancroft Ave,,,,,,,,Free,Prepared Meals,,4615,,,,,,,,
Grant Elementary,San Lorenzo Unified,4616,,bring grocery bag or cooler,879 Grant Ave,879 Grant Ave,,,,,,,,Free,Prepared Meals,,4616,,,,,,,,
Arroyo High School,San Lorenzo Unified,4617,,bring grocery bag or cooler,15701 Lorenzo Avenue,15701 Lorenzo Avenue,,,,,,,,Free,Prepared Meals,,4617,,,,,,,,
Hillside Elementary School,San Lorenzo Unified,4618,,bring grocery bag or cooler,15980 Marcella St,15980 Marcella St,,,,,,,,Free,Prepared Meals,,4618,,,,,,,,
Hesperian Elementary School,San Lorenzo Unified,4619,,bring grocery bag or cooler,620 Drew Street,620 Drew Street,,,,,,,,Free,Prepared Meals,,4619,,,,,,,,
Lorenzo Manor Elementary,San Lorenzo Unified,4620,,bring grocery bag or cooler,18250 Bengal Ave,18250 Bengal Ave,,,,,,,,Free,Prepared Meals,,4620,,,,,,,,
Corvallis Elementary School,San Lorenzo Unified,4621,,bring grocery bag or cooler,14790 Corvallis St,14790 Corvallis St,,,,,,,,Free,Prepared Meals,,4621,,,,,,,,
Campolindo High School,Acalanes Union High,4622,,AUHSD will provide meals to all children 18 and younger Child MUST be present,300 Moraga Road,300 Moraga Road,,,,,,,,Free,Prepared Meals,,4622,,,,,,,,
Las Lomas High School,Acalanes Union High,4623,,AUHSD will provide meals to all children 18 and younger Child MUST be present,1460 South Main St.,1460 South Main St.,,,,,,,,Free,Prepared Meals,,4623,,,,,,,,
Belshaw Elementary School,Antioch Unified,4624,,"The meals will be picked from the roundabout at the front of the school. Parents will stay in their cars and staff will hand them the bagged meals through their car windows. No one may eat on site due to the ""shelter-in-place"" restrictions.",2801 Roosevelt Lane,2801 Roosevelt Lane,,,,,,,,Free,Prepared Meals,,4624,,,,,,,,
LifeSTEPS at The Oaks Apartments,Antioch Unified,4625,,"The meals will be picked from the roundabout at the front of the school. Parents will stay in their cars and staff will hand them the bagged meals through their car windows. No one may eat on site due to the ""shelter-in-place"" restrictions.",69 Carol Lane,69 Carol Lane,,,,,,,,Free,Prepared Meals,,4625,,,,,,,,
Grace Temple,Antioch Unified,4626,,"The meals will be picked from the roundabout at the front of the school. Parents will stay in their cars and staff will hand them the bagged meals through their car windows. No one may eat on site due to the ""shelter-in-place"" restrictions.",1001 Fitzuren Road,1001 Fitzuren Road,,,,,,,,Free,Prepared Meals,,4626,,,,,,,,
Grace Bible Fellowship,Antioch Unified,4627,,"The meals will be picked from the roundabout at the front of the school. Parents will stay in their cars and staff will hand them the bagged meals through their car windows. No one may eat on site due to the ""shelter-in-place"" restrictions.",3415 Oakley Road,3415 Oakley Road,,,,,,,,Free,Prepared Meals,,4627,,,,,,,,
Church of God Holy,Antioch Unified,4628,,"The meals will be picked from the roundabout at the front of the school. Parents will stay in their cars and staff will hand them the bagged meals through their car windows. No one may eat on site due to the ""shelter-in-place"" restrictions.",611 W 3rd Street,611 W 3rd Street,,,,,,,,Free,Prepared Meals,,4628,,,,,,,,
Lone Tree Elementary School,Antioch Unified,4629,,"The meals will be picked from the roundabout at the front of the school. Parents will stay in their cars and staff will hand them the bagged meals through their car windows. No one may eat on site due to the ""shelter-in-place"" restrictions.",1931 Mokelumne Drive,1931 Mokelumne Drive,,,,,,,,Free,Prepared Meals,,4629,,,,,,,,
Antioch Library,Antioch Unified,4630,,"The meals will be picked from the roundabout at the front of the school. Parents will stay in their cars and staff will hand them the bagged meals through their car windows. No one may eat on site due to the ""shelter-in-place"" restrictions.",501 W-18th Street,501 W-18th Street,,,,,,,,Free,Prepared Meals,,4630,,,,,,,,
Deer Valley High School,Antioch Unified,4631,,"The meals will be picked from the roundabout at the front of the school. Parents will stay in their cars and staff will hand them the bagged meals through their car windows. Children must be present in the car to receive a bag. Walk ups are welcome, but they must take the food with them. No one may eat on site due to the ""shelter-in-place"" restrictions.",4700 Lone Tree Way,4700 Lone Tree Way,,,,,,,,Free,Prepared Meals,,4631,,,,,,,,
Marsh Elementary,Antioch Unified,4632,,"The meals will be picked from the roundabout at the front of the school. Parents will stay in their cars and staff will hand them the bagged meals through their car windows. Children must be present in the car to receive a bag. Walk ups are welcome, but they must take the food with them. No one may eat on site due to the ""shelter-in-place"" restrictions.",2304 G Street,2304 G Street,,,,,,,,Free,Prepared Meals,,4632,,,,,,,,
Mission Elementary,Antioch Unified,4633,,"The meals will be picked from the roundabout at the front of the school. Parents will stay in their cars and staff will hand them the bagged meals through their car windows. No one may eat on site due to the ""shelter-in-place"" restrictions.",1711 Mission Dr,1711 Mission Dr,,,,,,,,Free,Prepared Meals,,4633,,,,,,,,
Brentwood Elementary School,Brentwood Union Elementary,4634,,"Beginning July 28th, contactless Drive thru/walk up Grab-n-Go breakfast & lunch meal services will resume Monday through Friday each week FOR ALL BUSD STUDENTS & FAMILIES. A Hot Lunch & breakfast for next day will be provided. Additional Family Produce Boxes will be available two days per week with pickup/purchase of meals. On the Free/Reduced Meal Program? ALL MEALS FREE.
Distance Learning Student Meal Prices: $4.75 per student (lunch & breakfast combined)
Distance Learning Sibling/Adult Meals Prices: $7.00 per person (lunch & breakfast combined)
Have a younger sibling? Please ask about our Hungry Tummies program for free younger sibling meals.",200 Griffith Lane,200 Griffith Lane,,,,,,,,Free,Prepared Meals,,4634,,,,,,,,
Edna Hill Middle School,Brentwood Union Elementary,4635,,"Beginning July 28th, contactless Drive thru/walk up Grab-n-Go breakfast & lunch meal services will resume Monday through Friday each week FOR ALL BUSD STUDENTS & FAMILIES. A Hot Lunch & breakfast for next day will be provided. Additional Family Produce Boxes will be available two days per week with pickup/purchase of meals. On the Free/Reduced Meal Program? ALL MEALS FREE.
Distance Learning Student Meal Prices: $4.75 per student (lunch & breakfast combined)
Distance Learning Sibling/Adult Meals Prices: $7.00 per person (lunch & breakfast combined)
Have a younger sibling? Please ask about our Hungry Tummies program for free younger sibling meals.",140 Birch Street,140 Birch Street,,,,,,,,Free,Prepared Meals,,4635,,,,,,,,
Marsh Creek Elementary,Brentwood Union Elementary,4636,,"Beginning July 28th, contactless Drive thru/walk up Grab-n-Go breakfast & lunch meal services will resume Monday through Friday each week FOR ALL BUSD STUDENTS & FAMILIES. A Hot Lunch & breakfast for next day will be provided. Additional Family Produce Boxes will be available two days per week with pickup/purchase of meals. On the Free/Reduced Meal Program? ALL MEALS FREE.
Distance Learning Student Meal Prices: $4.75 per student (lunch & breakfast combined)
Distance Learning Sibling/Adult Meals Prices: $7.00 per person (lunch & breakfast combined)
Have a younger sibling? Please ask about our Hungry Tummies program for free younger sibling meals.",601 Grant Street,601 Grant Street,,,,,,,,Free,Prepared Meals,,4636,,,,,,,,
