,attributes.OBJECTID,attributes.FACILITYID,attributes.INTID,attributes.SITESCHOOLDISTRICT,attributes.SITENAME,attributes.SITEADDRESS,attributes.OPENDAYS,attributes.OPENTIMES,attributes.OPENDATES,attributes.MEALTYPES,attributes.SITETYPE,attributes.SITESTATUS,attributes.DESCRIPTION,attributes.PHONENUMBER,attributes.EMAIL,attributes.WEBLINK,attributes.CITYNAME,attributes.CITYCOUNCILDISTRICT,attributes.LASTUPDATE,attributes.LASTEDITOR,attributes.NOTES,attributes.ENTERPRISEID,attributes.DESCRIPTIONLONG,geometry.x,geometry.y
10,11,11,11,Campbell,Blackford Elementary,1970 Willow St San Jose,"Monday through Friday


de lunes a viernes",11:00 a.m. to 12:00 p.m.,"On-going through school closure

En curso hasta el cierre de la escuela",Lunch and Breakfast,School,Open,The school meal distribution program provides food for low-income families whose children depend on the lunch or breakfast they get from the cafeteria.,,,https://www.campbellusd.org/news/covid19-meals,San Jose,6,1588782425000,FME,*updated 5.4.20 at 4:12 p.m.,EOC-FCMS-0000000011,"Serving students up to 18 years of age. A grab and go pre-packaged lunch and a pre-packaged breakfast will be offered for the following day. Please contact Child Nutrition Services at (408) 341-7210 or e-mail at food@campbellusd.org for any questions.  ***Capri, Sherman Oaks and Rosemary elementary also will offer weekend meals to go on Fridays, from 11 am-12 pm.",-13572338.41,4480932.807
11,12,12,12,Campbell,Capri Elementary,850 Chapman Dr. Campbell,"Monday through Friday


de lunes a viernes",11:00 a.m. to 12:00 p.m.,"On-going through school closure

En curso hasta el cierre de la escuela",Lunch and Breakfast,School,Open,The school meal distribution program provides food for low-income families whose children depend on the lunch or breakfast they get from the cafeteria.,,,https://www.campbellusd.org/news/covid19-meals,Campbell,0,1588782425000,FME,*updated 5.4.20 at 4:12 p.m.,EOC-FCMS-0000000012,"Serving students up to 18 years of age. A grab and go pre-packaged lunch and a pre-packaged breakfast will be offered for the following day. Please contact Child Nutrition Services at (408) 341-7210 or e-mail at food@campbellusd.org for any questions.  ***Capri, Sherman Oaks and Rosemary elementary also will offer weekend meals to go on Fridays, from 11 am-12 pm.",-13577071.24,4476161.745
12,13,13,13,Campbell,Castlemont Elementary,3040 E. Payne Ave Campbell,"Monday through Friday


de lunes a viernes",11:00 a.m. to 12:00 p.m.,"On-going through school closure

En curso hasta el cierre de la escuela",Lunch and Breakfast,School,Open,The school meal distribution program provides food for low-income families whose children depend on the lunch or breakfast they get from the cafeteria.,,,https://www.campbellusd.org/news/covid19-meals,San Jose,1,1588782425000,FME,*updated 5.4.20 at 4:12 p.m.,EOC-FCMS-0000000013,"Serving students up to 18 years of age. A grab and go pre-packaged lunch and a pre-packaged breakfast will be offered for the following day. Please contact Child Nutrition Services at (408) 341-7210 or e-mail at food@campbellusd.org for any questions.  ***Capri, Sherman Oaks and Rosemary elementary also will offer weekend meals to go on Fridays, from 11 am-12 pm.",-13575156.13,4481148.387
13,14,14,14,Campbell,Lynhaven Elementary,881 S. Cypress Ave San Jose,"Monday through Friday


de lunes a viernes",11:00 a.m. to 12:00 p.m.,"On-going through school closure

En curso hasta el cierre de la escuela",Lunch and Breakfast,School,Open,The school meal distribution program provides food for low-income families whose children depend on the lunch or breakfast they get from the cafeteria.,,,https://www.campbellusd.org/news/covid19-meals,San Jose,1,1588782425000,FME,*updated 5.4.20 at 4:12 p.m.,EOC-FCMS-0000000014,"Serving students up to 18 years of age. A grab and go pre-packaged lunch and a pre-packaged breakfast will be offered for the following day. Please contact Child Nutrition Services at (408) 341-7210 or e-mail at food@campbellusd.org for any questions.  ***Capri, Sherman Oaks and Rosemary elementary also will offer weekend meals to go on Fridays, from 11 am-12 pm.",-13576571,4482569.857
14,15,15,15,Campbell,Rosemary Elementary,401 W Hamilton Ave Campbell,"Monday through Friday


de lunes a viernes",11:00 a.m. to 12:00 p.m.,"On-going through school closure

En curso hasta el cierre de la escuela",Lunch and Breakfast,School,Open,The school meal distribution program provides food for low-income families whose children depend on the lunch or breakfast they get from the cafeteria.,,,https://www.campbellusd.org/news/covid19-meals,Campbell,0,1588782425000,FME,*updated 5.4.20 at 4:12 p.m.,EOC-FCMS-0000000015,"Serving students up to 18 years of age. A grab and go pre-packaged lunch and a pre-packaged breakfast will be offered for the following day. Please contact Child Nutrition Services at (408) 341-7210 or e-mail at food@campbellusd.org for any questions.  ***Capri, Sherman Oaks and Rosemary elementary also will offer weekend meals to go on Fridays, from 11 am-12 pm.",-13576063.55,4480318.641
15,16,16,16,Campbell,Sherman Oaks Elementary,1800 Fruitdale Ave San Jose,"Monday through Friday


de lunes a viernes",11:00 a.m. to 12:00 p.m.,"On-going through school closure

En curso hasta el cierre de la escuela",Lunch and Breakfast,School,Open,The school meal distribution program provides food for low-income families whose children depend on the lunch or breakfast they get from the cafeteria.,,,https://www.campbellusd.org/news/covid19-meals,San Jose,6,1588782425000,FME,*updated 5.4.20 at 4:12 p.m.,EOC-FCMS-0000000016,"Serving students up to 18 years of age. A grab and go pre-packaged lunch and a pre-packaged breakfast will be offered for the following day. Please contact Child Nutrition Services at (408) 341-7210 or e-mail at food@campbellusd.org for any questions.  ***Capri, Sherman Oaks and Rosemary elementary also will offer weekend meals to go on Fridays, from 11 am-12 pm.",-13572620.34,4482380.197
16,17,17,17,Campbell,Monroe Middle,1055 S. Monroe St San Jose,"Monday through Friday


de lunes a viernes",11:00 a.m. to 12:00 p.m.,"On-going through school closure

En curso hasta el cierre de la escuela",Lunch and Breakfast,School,Open,The school meal distribution program provides food for low-income families whose children depend on the lunch or breakfast they get from the cafeteria.,,,https://www.campbellusd.org/news/covid19-meals,San Jose,1,1588782425000,FME,*updated 5.4.20 at 4:12 p.m.,EOC-FCMS-0000000017,"Serving students up to 18 years of age. A grab and go pre-packaged lunch and a pre-packaged breakfast will be offered for the following day. Please contact Child Nutrition Services at (408) 341-7210 or e-mail at food@campbellusd.org for any questions.  ***Capri, Sherman Oaks and Rosemary elementary also will offer weekend meals to go on Fridays, from 11 am-12 pm.",-13574699.02,4482184.045
17,18,18,18,Campbell Union High,Boynton High,"901 Boynton Avenue, San Jose
","Monday through Saturday

De lunes a sábado",11:30 a.m. to 1:00 p.m.,"March 17th though duration of the closure
**No meal service on Memorial Day Monday May 25th.",Breakfast and Lunch,School,Open,The school meal distribution program provides food for low-income families whose children depend on the lunch or breakfast they get from the cafeteria.,,,https://www.cuhsd.org/apps/pages/coronavirusinfo,San Jose,1,1588782425000,FME,*updated 5.4.20 at 4:12 p.m.,EOC-FCMS-0000000018,All children aged 18 years and younger. Meals will not be consumed on site; they are to be eaten elsewhere. A pre-packaged lunch and a pre-packaged breakfast will be offered for the following day. **Meal Service will also be offered on Saturdays,-13577223.89,4482474.459
18,19,19,19,Campbell Union High,Branham High,"1570 Branham Ln, San Jose","Monday through Saturday

De lunes a sábado",11:30 a.m. to 1:00 p.m.,"March 17th though duration of the closure
**No meal service on Memorial Day Monday May 25th.",Breakfast and Lunch,School,Open,The school meal distribution program provides food for low-income families whose children depend on the lunch or breakfast they get from the cafeteria.,,,https://www.cuhsd.org/apps/pages/coronavirusinfo,San Jose,9,1588782425000,FME,*updated 5.4.20 at 4:12 p.m.,EOC-FCMS-0000000019,All children aged 18 years and younger. Meals will not be consumed on site; they are to be eaten elsewhere. A pre-packaged lunch and a pre-packaged breakfast will be offered for the following day. **Meal Service will also be offered on Saturdays,-13569643,4474439.527
19,20,20,20,Campbell Union High,Del Mar High,"1224 Del Mar Ave, San Jose","Monday through Saturday

De lunes a sábado",11:30 a.m. to 1:00 p.m.,"March 17th though duration of the closure
**No meal service on Memorial Day Monday May 25th.",Breakfast and Lunch,School,Open,The school meal distribution program provides food for low-income families whose children depend on the lunch or breakfast they get from the cafeteria.,,,https://www.cuhsd.org/apps/pages/coronavirusinfo,San Jose,6,1588782425000,FME,*updated 5.4.20 at 4:12 p.m.,EOC-FCMS-0000000020,All children aged 18 years and younger. Meals will not be consumed on site; they are to be eaten elsewhere. A pre-packaged lunch and a pre-packaged breakfast will be offered for the following day. **Meal Service will also be offered on Saturdays,-13573029.29,4481560.766
20,21,21,21,Campbell Union High,Leigh High,"5210 Leigh Ave, San Jose","Monday through Saturday

De lunes a sábado",11:30 a.m. to 1:00 p.m.,"March 17th though duration of the closure
**No meal service on Memorial Day Monday May 25th.",Breakfast and Lunch,School,Open,The school meal distribution program provides food for low-income families whose children depend on the lunch or breakfast they get from the cafeteria.,,,https://www.cuhsd.org/apps/pages/coronavirusinfo,San Jose,9,1588782425000,FME,*updated 5.4.20 at 4:12 p.m.,EOC-FCMS-0000000021,All children aged 18 years and younger. Meals will not be consumed on site; they are to be eaten elsewhere. A pre-packaged lunch and a pre-packaged breakfast will be offered for the following day. **Meal Service will also be offered on Saturdays,-13572175.15,4472855.576
21,22,22,22,Campbell Union High,Prospect High,"18900 Prospect Rd, Saratoga","Monday through Saturday

De lunes a sábado",11:30 a.m. to 1:00 p.m.,"March 17th though duration of the closure
**No meal service on Memorial Day Monday May 25th.",Breakfast and Lunch,School,Open,The school meal distribution program provides food for low-income families whose children depend on the lunch or breakfast they get from the cafeteria.,,,https://www.cuhsd.org/apps/pages/coronavirusinfo,Saratoga,0,1588782425000,FME,*updated 5.4.20 at 4:12 p.m.,EOC-FCMS-0000000022,All children aged 18 years and younger. Meals will not be consumed on site; they are to be eaten elsewhere. A pre-packaged lunch and a pre-packaged breakfast will be offered for the following day. **Meal Service will also be offered on Saturdays,-13581098.42,4479835.607
22,23,23,23,Campbell Union High,Westmont High,"4805 Westmont Ave, Campbell","Monday through Saturday

De lunes a sábado",11:30 a.m. to 1:00 p.m.,"March 17th though duration of the closure
**No meal service on Memorial Day Monday May 25th.",Breakfast and Lunch,School,Open,The school meal distribution program provides food for low-income families whose children depend on the lunch or breakfast they get from the cafeteria.,,,https://www.cuhsd.org/apps/pages/coronavirusinfo,San Jose,1,1588782425000,FME,*updated 5.4.20 at 4:12 p.m.,EOC-FCMS-0000000023,All children aged 18 years and younger. Meals will not be consumed on site; they are to be eaten elsewhere. A pre-packaged lunch and a pre-packaged breakfast will be offered for the following day. **Meal Service will also be offered on Saturdays,-13579389.1,4476931.529
23,24,24,24,Cupertino Union,Cupertino Middle School,"1650 S Bernardo Ave, Sunnyvale",Monday's and Thursday's,11:00 a.m. to 1:00 p.m.,"On-going Meals through school closure

En curso hasta el cierre de la escuela",Lunch,School,Open,The school meal distribution program provides food for low-income families whose children depend on the lunch or breakfast they get from the cafeteria.,,,https://www.cusdk8.org/site/default.aspx?PageType=3&DomainID=4&ModuleInstanceID=35&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=27143&PageID=1,Sunnyvale,0,1588782425000,FME,*updated 5.4.20 at 4:12 p.m.,EOC-FCMS-0000000024,"Monday |  Pick up meals for 3 days Breakfast and lunch for Monday, Tuesday and Wednesday Thursday  |  Pick up meals for 2 days Breakfast and lunch for Thursday and Friday",-13587554.77,4486529.398
24,25,25,25,East Side Union HSD,Foothill High School,230 Pala Ave,Monday through Friday,12:00 to 1:00 p.m.,March 16th through duration of school closure,Lunch,School,Closed,The school meal distribution program provides food for low-income families whose children depend on the lunch or breakfast they get from the cafeteria.,,,http://www.esuhsd.org/documents/Home%20Page/Free%20Meals%20During%20School%20Closure%20Period%20-COVID-19-%2003-16-20.pdf,San Jose,5,1588782426000,FME,*updated 5.4.20 at 4:12 p.m.,EOC-FCMS-0000000025,There will be a drive up service. Parents can get specific service location information on the school website. One meal per day for children 18 and younger. Beginning April 13th the following sites will remain open for meal service. Families can get meals from any location you don't have to be a student attending there.  *Andrew Hill *Evergreen High *Independence High *James Lick *Mt. Pleasant *Oak Grove *Silver Creek *Overfelt,-13563043.24,4490640.503
25,26,26,26,East Side Union HSD,Andrew Hill HS,3200 Senter Road,"Monday through Friday


de lunes a viernes",12:00 to 1:00 p.m.,"March 16th through duration of school closure

En curso hasta el cierre de la escuela",Lunch,School,Open,The school meal distribution program provides food for low-income families whose children depend on the lunch or breakfast they get from the cafeteria.,,,http://www.esuhsd.org/documents/Home%20Page/Free%20Meals%20During%20School%20Closure%20Period%20-COVID-19-%2003-16-20.pdf,San Jose,7,1588782425000,FME,*updated 5.4.20 at 4:12 p.m.,EOC-FCMS-0000000026,There will be a drive up service. Parents can get specific service location information on the school website. One meal per day for children 18 and younger.,-13562190.43,4479918.725
26,27,27,27,East Side Union HSD,Calero High School,420 Calero Ave,Monday through Friday,12:00 to 1:00 p.m.,March 16th through duration of school closure,Lunch,School,Closed,The school meal distribution program provides food for low-income families whose children depend on the lunch or breakfast they get from the cafeteria.,,,http://www.esuhsd.org/documents/Home%20Page/Free%20Meals%20During%20School%20Closure%20Period%20-COVID-19-%2003-16-20.pdf,San Jose,2,1588782426000,FME,*updated 5.4.20 at 4:12 p.m.,EOC-FCMS-0000000027,There will be a drive up service. Parents can get specific service location information on the school website. One meal per day for children 18 and younger. Beginning April 13th the following sites will remain open for meal service. Families can get meals from any location you don't have to be a student attending there.  *Andrew Hill *Evergreen High *Independence High *James Lick *Mt. Pleasant *Oak Grove *Silver Creek *Overfelt,-13561677.3,4472808.182
27,28,28,28,East Side Union HSD,Evergreen High School,3300 Quimby Road,"Monday through Friday


de lunes a viernes",12:00 to 1:00 p.m.,"March 16th through duration of school closure

En curso hasta el cierre de la escuela",Lunch,School,Open,The school meal distribution program provides food for low-income families whose children depend on the lunch or breakfast they get from the cafeteria.,,,http://www.esuhsd.org/documents/Home%20Page/Free%20Meals%20During%20School%20Closure%20Period%20-COVID-19-%2003-16-20.pdf,San Jose,8,1588782425000,FME,*updated 5.4.20 at 4:12 p.m.,EOC-FCMS-0000000028,There will be a drive up service. Parents can get specific service location information on the school website. One meal per day for children 18 and younger.,-13556369.26,4484233.641
28,29,29,29,East Side Union HSD,Independence HS,617 N Jackson Ave,"Monday through Friday


de lunes a viernes",12:00 to 1:00 p.m.,"March 16th through duration of school closure

En curso hasta el cierre de la escuela",Lunch,School,Open,The school meal distribution program provides food for low-income families whose children depend on the lunch or breakfast they get from the cafeteria.,,,http://www.esuhsd.org/documents/Home%20Page/Free%20Meals%20During%20School%20Closure%20Period%20-COVID-19-%2003-16-20.pdf,San Jose,4,1588782425000,FME,*updated 5.4.20 at 4:12 p.m.,EOC-FCMS-0000000029,There will be a drive up service. Parents can get specific service location information on the school website. One meal per day for children 18 and younger.,-13565190.55,4490872.803
29,30,30,30,East Side Union HSD,James Lick HS,57 N White Road,"Monday through Friday


de lunes a viernes",12:00 to 1:00 p.m.,"March 16th through duration of school closure

En curso hasta el cierre de la escuela",Lunch,School,Open,The school meal distribution program provides food for low-income families whose children depend on the lunch or breakfast they get from the cafeteria.,,,http://www.esuhsd.org/documents/Home%20Page/Free%20Meals%20During%20School%20Closure%20Period%20-COVID-19-%2003-16-20.pdf,San Jose,5,1588782425000,FME,*updated 5.4.20 at 4:12 p.m.,EOC-FCMS-0000000030,There will be a drive up service. Parents can get specific service location information on the school website. One meal per day for children 18 and younger.,-13562083.62,4490380.74
30,31,31,31,East Side Union HSD,Mt. Pleasant HS,1750 S White road,"Monday through Friday


de lunes a viernes",12:00 to 1:00 p.m.,"March 16th through duration of school closure

En curso hasta el cierre de la escuela",Lunch,School,Open,The school meal distribution program provides food for low-income families whose children depend on the lunch or breakfast they get from the cafeteria.,,,http://www.esuhsd.org/documents/Home%20Page/Free%20Meals%20During%20School%20Closure%20Period%20-COVID-19-%2003-16-20.pdf,San Jose,5,1588782425000,FME,*updated 5.4.20 at 4:12 p.m.,EOC-FCMS-0000000031,There will be a drive up service. Parents can get specific service location information on the school website. One meal per day for children 18 and younger.,-13559634.26,4487489.335
31,32,32,32,East Side Union HSD,Oak Grove High School,285 Blossom Hill Road,"Monday through Friday


de lunes a viernes",12:00 to 1:00 p.m.,"March 16th through duration of school closure

En curso hasta el cierre de la escuela",Lunch,School,Open,The school meal distribution program provides food for low-income families whose children depend on the lunch or breakfast they get from the cafeteria.,,,http://www.esuhsd.org/documents/Home%20Page/Free%20Meals%20During%20School%20Closure%20Period%20-COVID-19-%2003-16-20.pdf,San Jose,2,1588782425000,FME,*updated 5.4.20 at 4:12 p.m.,EOC-FCMS-0000000032,There will be a drive up service. Parents can get specific service location information on the school website. One meal per day for children 18 and younger.,-13560841.63,4474287.991
32,33,33,33,East Side Union HSD,Piedmont Hills High School,1377 Piedmont Road,Monday through Friday,12:00 to 1:00 p.m.,March 16th through duration of school closure,Lunch,School,Closed,The school meal distribution program provides food for low-income families whose children depend on the lunch or breakfast they get from the cafeteria.,,,http://www.esuhsd.org/documents/Home%20Page/Free%20Meals%20During%20School%20Closure%20Period%20-COVID-19-%2003-16-20.pdf,San Jose,4,1588782426000,FME,*updated 5.4.20 at 4:12 p.m.,EOC-FCMS-0000000033,There will be a drive up service. Parents can get specific service location information on the school website. One meal per day for children 18 and younger. Beginning April 13th the following sites will remain open for meal service. Families can get meals from any location you don't have to be a student attending there.  *Andrew Hill *Evergreen High *Independence High *James Lick *Mt. Pleasant *Oak Grove *Silver Creek *Overfelt,-13564419.55,4495269.199
33,34,34,34,East Side Union HSD,Santa Teresa High School,6150 Snell Ave,Monday through Friday,12:00 to 1:00 p.m.,March 16th through duration of school closure,Lunch,School,Closed,The school meal distribution program provides food for low-income families whose children depend on the lunch or breakfast they get from the cafeteria.,,,http://www.esuhsd.org/documents/Home%20Page/Free%20Meals%20During%20School%20Closure%20Period%20-COVID-19-%2003-16-20.pdf,San Jose,2,1588782426000,FME,*updated 5.4.20 at 4:12 p.m.,EOC-FCMS-0000000034,There will be a drive up service. Parents can get specific service location information on the school website. One meal per day for children 18 and younger. Beginning April 13th the following sites will remain open for meal service. Families can get meals from any location you don't have to be a student attending there.  *Andrew Hill *Evergreen High *Independence High *James Lick *Mt. Pleasant *Oak Grove *Silver Creek *Overfelt,-13561930.56,4471951.884
34,35,35,35,East Side Union HSD,Silver Creek High School,3434 Silver Creek Road,"Monday through Friday


de lunes a viernes",12:00 to 1:00 p.m.,"March 16th through duration of school closure

En curso hasta el cierre de la escuela",Lunch,School,Open,The school meal distribution program provides food for low-income families whose children depend on the lunch or breakfast they get from the cafeteria.,,,http://www.esuhsd.org/documents/Home%20Page/Free%20Meals%20During%20School%20Closure%20Period%20-COVID-19-%2003-16-20.pdf,San Jose,8,1588782425000,FME,*updated 5.4.20 at 4:12 p.m.,EOC-FCMS-0000000035,There will be a drive up service. Parents can get specific service location information on the school website. One meal per day for children 18 and younger.,-13559447.35,4481528.236
35,36,36,36,East Side Union HSD,WC Overfelt High School,1835 Cunningham Ave,"Monday through Friday


de lunes a viernes",12:00 to 1:00 p.m.,"March 16th through duration of school closure

En curso hasta el cierre de la escuela",Lunch,School,Open,The school meal distribution program provides food for low-income families whose children depend on the lunch or breakfast they get from the cafeteria.,,,http://www.esuhsd.org/documents/Home%20Page/Free%20Meals%20During%20School%20Closure%20Period%20-COVID-19-%2003-16-20.pdf,San Jose,8,1588782425000,FME,*updated 5.4.20 at 4:12 p.m.,EOC-FCMS-0000000036,There will be a drive up service. Parents can get specific service location information on the school website. One meal per day for children 18 and younger.,-13562040.54,4485392.214
36,37,37,37,East Side Union HSD,Yerba Buena High School,1855 Lucretia Ave,Monday through Friday,12:00 to 1:00 p.m.,March 16th through duration of school closure,Lunch,School,Closed,The school meal distribution program provides food for low-income families whose children depend on the lunch or breakfast they get from the cafeteria.,,,http://www.esuhsd.org/documents/Home%20Page/Free%20Meals%20During%20School%20Closure%20Period%20-COVID-19-%2003-16-20.pdf,San Jose,7,1588782426000,FME,*updated 5.4.20 at 4:12 p.m.,EOC-FCMS-0000000037,There will be a drive up service. Parents can get specific service location information on the school website. One meal per day for children 18 and younger. Beginning April 13th the following sites will remain open for meal service. Families can get meals from any location you don't have to be a student attending there.  *Andrew Hill *Evergreen High *Independence High *James Lick *Mt. Pleasant *Oak Grove *Silver Creek *Overfelt,-13564256.91,4484001.69
37,38,38,38,Evergreen,Caldwalder,"3799 Cadwallader Avenue, San Jose


",Monday through Friday,11 a.m. to 1:00 p.m.,March 30th though closure,Lunch and Breakfast,School,Closed,The school meal distribution program provides food for low-income families whose children depend on the lunch or breakfast they get from the cafeteria.,,,https://www.eesd.org/cf_news/view.cfm?newsid=7127,San Jose,8,1588782426000,FME,*updated 5.4.20 at 4:12 p.m.,EOC-FCMS-0000000038,"Walk or drive curb side service. Children must be present. Served cold for families to heat at home. For more information, please call Child Nutrition Services at (408) 223-4500",-13557397.77,4481936.732
38,39,39,39,Evergreen,Carolyn Clark,"3701 Rue Mirassou, San Jose",Monday through Friday,11 a.m. to 1:00 p.m.,March 30th though closure,Lunch and Breakfast,School,Closed,The school meal distribution program provides food for low-income families whose children depend on the lunch or breakfast they get from the cafeteria.,,,https://www.eesd.org/cf_news/view.cfm?newsid=7127,San Jose,8,1588782426000,FME,*updated 5.4.20 at 4:12 p.m.,EOC-FCMS-0000000039,"Walk or drive curb side service. Children must be present. Served cold for families to heat at home. For more information, please call Child Nutrition Services at (408) 223-4500",-13555359.65,4484046.1
39,40,40,40,Evergreen,Cedar Grove,"2702 Sugarplum Drive, San Jose",Monday through Friday,11 a.m. to 1:00 p.m.,March 30th though closure,Lunch and Breakfast,School,Closed,The school meal distribution program provides food for low-income families whose children depend on the lunch or breakfast they get from the cafeteria.,,,https://www.eesd.org/cf_news/view.cfm?newsid=7127,San Jose,8,1588782426000,FME,*updated 5.4.20 at 4:12 p.m.,EOC-FCMS-0000000040,"Walk or drive curb side service. Children must be present. Served cold for families to heat at home. For more information, please call Child Nutrition Services at (408) 223-4500",-13557980.52,4485436.545
