translation_id,en
label.dv_crisis,DV crisis support
category.dv_resources,Domestic violence resources
label.dv_mental_health,DV mental health support
label.apply,Apply filters
label.filters,Filters
category.eviction_resources,Eviction resources
category.bob,Black owned restaurants
faq.title,Welcome to Know Your Rights
faq.header,Know Your Rights
faq.home_help_text,Select an area below to find out more about your rights.
faq.subcategory_header,What best describes your situation?
faq.subcategory_help_text,Click on the questions below to expand answers.
faq.back_button,Back
faq.categories.criminal-justice.title,Criminal Justice
faq.categories.criminal-justice.icon,fa-gavel
faq.categories.criminal-justice.content.0.title,I've been arrested
faq.categories.criminal-justice.content.0.questions.0.question,What should I do?
faq.categories.criminal-justice.content.0.questions.0.answer.0.text,"Generally the protocols for police arrests are not different from pre-COVID times, except that they are more likely to issue summons in the field rather than bringing detainees into a station for booking {0}."
faq.categories.criminal-justice.content.0.questions.0.answer.0.links.0.text,source
faq.categories.criminal-justice.content.0.questions.0.answer.0.links.0.link,https://www.ppic.org/blog/how-will-covid-19-affect-arrests-in-california/
faq.categories.criminal-justice.content.0.questions.0.answer.1.text,You can find regular know-your-rights information for when you are stopped by the police at the ACLU Northern California Chapter's {0}.
faq.categories.criminal-justice.content.0.questions.0.answer.1.links.0.text,website
faq.categories.criminal-justice.content.0.questions.0.answer.1.links.0.link,https://www.aclunc.org/sites/default/files/kyr_police_en.pdf
faq.categories.criminal-justice.content.0.questions.1.question,What is the status of the courts?
faq.categories.criminal-justice.content.0.questions.1.answer.0.text,"During a public health emergency like COVID-19, courts prioritize critical cases (i.e. bail hearings, emergency protective orders such as in domestic violence and child abuse cases, and contested quarantine and isolation orders) over other caseloads ({0})."
faq.categories.criminal-justice.content.0.questions.1.answer.0.links.0.text,source
faq.categories.criminal-justice.content.0.questions.1.answer.0.links.0.link,https://www.nolo.com/legal-encyclopedia/how-is-the-coronavirus-covid-19-impacting-criminal-cases.html
faq.categories.criminal-justice.content.0.questions.1.answer.1.text,You can find the most updated information about operation policies on each court's website for COVID-19 news. We list a few here for you.
faq.categories.criminal-justice.content.0.questions.1.answer.2.text,{0}
faq.categories.criminal-justice.content.0.questions.1.answer.2.links.0.text,Alameda County Court Website
faq.categories.criminal-justice.content.0.questions.1.answer.2.links.0.link,http://www.alameda.courts.ca.gov/Pages.aspx/COVID-19
faq.categories.criminal-justice.content.0.questions.1.answer.3.text,{0}
faq.categories.criminal-justice.content.0.questions.1.answer.3.links.0.text,Santa Clara County Court Website
faq.categories.criminal-justice.content.0.questions.1.answer.3.links.0.link,http://www.scscourt.org/general_info/news_media/covid19.shtml#resources
faq.categories.criminal-justice.content.0.questions.1.answer.4.text,{0}
faq.categories.criminal-justice.content.0.questions.1.answer.4.links.0.text,San Mateo County Court Website
faq.categories.criminal-justice.content.0.questions.1.answer.4.links.0.link,https://www.sanmateocourt.org/covid19.pdf
faq.categories.criminal-justice.content.0.questions.2.question,How can I pay bail during COVID-19?
faq.categories.criminal-justice.content.0.questions.2.answer.0.text,"On April 6, the Judicial Council of California adopted 11 Emergency Rules and established that bail for infractions will be set at $0.00, while bail for technical violations of felony probation, Post Release Community Supervision (PRCS), or parole will be set at $5,000.00. The rules are repealed on June 10, but counties like Alameda have adopted their own ""zero bail"" emergency bail schedule."
faq.categories.criminal-justice.content.0.questions.2.answer.1.text,See the {0} section.
faq.categories.criminal-justice.content.0.questions.2.answer.1.links.0.text,Bail Fund Resources
faq.categories.criminal-justice.content.0.questions.2.answer.1.links.0.link,#/faq/criminal-justice/2
faq.categories.criminal-justice.content.1.title,Someone I know has been arrested
faq.categories.criminal-justice.content.1.questions.0.question,Can I attend their court hearing?
faq.categories.criminal-justice.content.1.questions.0.answer.0.text,"Since most matters are being heard remotely through court call and a public access, listen-only line is also available. You can also check the most updated information on each court's website for COVID-19 news."
faq.categories.criminal-justice.content.1.questions.0.answer.1.text,See the {0} section for a list of website addresses.
faq.categories.criminal-justice.content.1.questions.0.answer.1.links.0.text,Status of courts
faq.categories.criminal-justice.content.1.questions.0.answer.1.links.0.link,#/faq/criminal-justice/0/1
faq.categories.criminal-justice.content.1.questions.1.question,How can I help them apply for bail fund?
faq.categories.criminal-justice.content.1.questions.1.answer.0.text,See the {0} section for a list of website addresses.
faq.categories.criminal-justice.content.1.questions.1.answer.0.links.0.text,Status of courts
faq.categories.criminal-justice.content.1.questions.1.answer.0.links.0.link,#/faq/criminal-justice/0/1
faq.categories.criminal-justice.content.1.questions.2.question,Can I visit them in incarceration?
faq.categories.criminal-justice.content.1.questions.2.answer.0.text,"As part of CDCR's COVID-19 prevention efforts, normal visiting will be canceled statewide until further notice. This includes non-contact visits, family visits, and the Division of Juvenile Justice. You can find updates on the CDCR {0} for visitation information."
faq.categories.criminal-justice.content.1.questions.2.answer.0.links.0.text,website
faq.categories.criminal-justice.content.1.questions.2.answer.0.links.0.link,https://www.cdcr.ca.gov/visitors/
faq.categories.criminal-justice.content.2.title,I am looking for bail fund resources during COVID
faq.categories.criminal-justice.content.2.questions.0.question,I’m looking for bail bonds for protesters.
faq.categories.criminal-justice.content.2.questions.0.answer.0.text,There are many organizations that provide bail fund resources for protesters. We list a few here for you:
faq.categories.criminal-justice.content.2.questions.0.answer.1.text,National Lawyers Guild (NLG) San Francisco Chapter Hotline:
faq.categories.criminal-justice.content.2.questions.0.answer.2.text,(415) 285-1011 (for protestors arrested)
faq.categories.criminal-justice.content.2.questions.0.answer.3.text,(916) 500-4NLG (for friends and family). Please provide the full name and a birthday of the arrested person.
faq.categories.criminal-justice.content.2.questions.0.answer.4.text,National bail fund network's {0} of protest bail funds in California.
faq.categories.criminal-justice.content.2.questions.0.answer.4.links.0.text,list
faq.categories.criminal-justice.content.2.questions.0.answer.4.links.0.link,https://bailfunds.github.io/#California
faq.categories.criminal-justice.content.2.questions.1.question,I’m looking for bail resources for other charges.
faq.categories.criminal-justice.content.2.questions.1.answer.0.text,You can find bail resources at the National Bail Fund Network's {0}.
faq.categories.criminal-justice.content.2.questions.1.answer.0.links.0.text,website
faq.categories.criminal-justice.content.2.questions.1.answer.0.links.0.link,https://www.communityjusticeexchange.org/nbfn-directory#california
faq.categories.sexual-harrassment.title,Sexual Harrassment
faq.categories.sexual-harrassment.icon,fa-restroom
faq.categories.sexual-harrassment.content.0.title,COVID-19 information
faq.categories.sexual-harrassment.content.0.questions.0.question,How can I stay safe as a survivor during the COVID-19 pandemic?
faq.categories.sexual-harrassment.content.0.questions.0.answer.0.text,Here are hotlines and support tips for survivors during COVID-19:
faq.categories.sexual-harrassment.content.0.questions.0.answer.1.text,{0}
faq.categories.sexual-harrassment.content.0.questions.0.answer.1.links.0.text,For family and relationship stress
faq.categories.sexual-harrassment.content.0.questions.0.answer.1.links.0.link,https://sfgov.org/dosw/sites/default/files/Family%20Violence%20Resources%20COVID-19_2020-04-13%20%282%29.pdf
faq.categories.sexual-harrassment.content.0.questions.0.answer.2.text,{0}
faq.categories.sexual-harrassment.content.0.questions.0.answer.2.links.0.text,For gender-based violence
faq.categories.sexual-harrassment.content.0.questions.0.answer.2.links.0.link,https://sfgov.org/dosw/sites/default/files/COVID-19%20DV%20One%20Pager_Updated033020.pdf
faq.categories.sexual-harrassment.content.0.questions.0.answer.3.text,Here are two websites with tips for survivors on staying safe during COVID-19:
faq.categories.sexual-harrassment.content.0.questions.0.answer.4.text,{0}
faq.categories.sexual-harrassment.content.0.questions.0.answer.4.links.0.text,National Domestic Violence Hotline
faq.categories.sexual-harrassment.content.0.questions.0.answer.4.links.0.link,https://www.thehotline.org/2020/03/13/staying-safe-during-covid-19
faq.categories.sexual-harrassment.content.0.questions.0.answer.5.text,{0}
faq.categories.sexual-harrassment.content.0.questions.0.answer.5.links.0.text,Sanctuary for Families
faq.categories.sexual-harrassment.content.0.questions.0.answer.5.links.0.link,https://sanctuaryforfamilies.org/wp-content/uploads/2020/03/Safety-Plan-Flyer.pdf
faq.categories.sexual-harrassment.content.0.questions.0.answer.6.text,{0} for survivors who are currently in a relationship with their abuser.
faq.categories.sexual-harrassment.content.0.questions.0.answer.6.links.0.text,Here is general information
faq.categories.sexual-harrassment.content.0.questions.0.answer.6.links.0.link,https://www.womenslaw.org/about-abuse/safety-tips/domestic-violence-victims
faq.categories.sexual-harrassment.content.0.questions.1.question,What additional resources and support services are available during the COVID-19 pandemic?
faq.categories.sexual-harrassment.content.0.questions.1.answer.0,"The Coronavirus Aid, Relief, and Economic Security Act (CARES Act) provides for an array of resources, including unemployment insurance, additional funds for serving survivors of domestic violence, and housing protections. More information about these resources can be found here:"
faq.categories.sexual-harrassment.content.0.questions.1.answer.1.text,{0}
faq.categories.sexual-harrassment.content.0.questions.1.answer.1.links.0.text,The National Network to End Domestic Violence
faq.categories.sexual-harrassment.content.0.questions.1.answer.1.links.0.link,https://nnedv.org/wp-content/uploads/2020/04/Library_Policy_Housing_Resources_in_CARES_Act.pdf
faq.categories.sexual-harrassment.content.0.questions.1.answer.2.text,{0}
faq.categories.sexual-harrassment.content.0.questions.1.answer.2.links.0.text,Futures Without Violence
faq.categories.sexual-harrassment.content.0.questions.1.answer.2.links.0.link,https://www.futureswithoutviolence.org/Support-for-Working-Families
faq.categories.sexual-harrassment.content.0.questions.1.answer.3.text,Survivors may face barriers obtaining relief payments provided by the CARES Act. The National Network to End Domestic Violence {0} for how survivors can obtain their payments.
faq.categories.sexual-harrassment.content.0.questions.1.answer.3.links.0.text,has outlined processes
faq.categories.sexual-harrassment.content.0.questions.1.answer.3.links.0.link,https://nnedv.org/wp-content/uploads/2020/04/Library_CTA_FINAL_CARESAct_ReliefPayment.pdf
faq.categories.sexual-harrassment.content.0.questions.2.question,Can I be evicted during the COVID-19 pandemic?
faq.categories.sexual-harrassment.content.0.questions.2.answer.0.text,"Your state or locality may have put a pause on evictions during the COVID-19 pandemic. While these ""eviction moratoriums"" may have exceptions allowing for evictions due to criminal activity or other lease violations, domestic violence survivors have additional protections from evictions. Information on these protections and how to access them can be found {0}."
faq.categories.sexual-harrassment.content.0.questions.2.answer.0.links.0.text,here
faq.categories.sexual-harrassment.content.0.questions.2.answer.0.links.0.link,https://www.nhlp.org/wp-content/uploads/VAWA-Housing-Protections-COVID-19.pdf
faq.categories.sexual-harrassment.content.0.questions.3.question,I have a court appearance during the COVID-19 pandemic. How should I prepare?
faq.categories.sexual-harrassment.content.0.questions.3.answer.0.text,{0} provides general information about the court process for survivors who are not represented by lawyers.
faq.categories.sexual-harrassment.content.0.questions.3.answer.0.links.0.text,This resource
faq.categories.sexual-harrassment.content.0.questions.3.answer.0.links.0.link,https://www.womenslaw.org/laws/preparing-for-court-yourself
faq.categories.sexual-harrassment.content.0.questions.4.question,Where can I find information on court policies during COVID-19?
faq.categories.sexual-harrassment.content.0.questions.4.answer.0.text,Some courthouses have closed or postponed hearings due to the COVID-19 pandemic. Information on court closures and answers to frequently asked questions involving courts and COVID-19 can be found {0}.
faq.categories.sexual-harrassment.content.0.questions.4.answer.0.links.0.text,here
faq.categories.sexual-harrassment.content.0.questions.4.answer.0.links.0.link,https://www.womenslaw.org/laws/preparing-court-yourself/frequently-asked-questions-involving-courts-and-covid-19
faq.categories.sexual-harrassment.content.1.title,Workplace information
faq.categories.sexual-harrassment.content.1.questions.0.question,I am an employee experiencing violence or threats of violence in my workplace. What can I do?
faq.categories.sexual-harrassment.content.1.questions.0.answer.0.text,"The protections available to employees experiencing violence or threats of violence in the workplace are generally the same as pre-COVID-19. There are steps that you and your employer can take to address violence in your workplace, including filing a complaint against your employer with the government, and filing for a workplace violence restraining order."
faq.categories.sexual-harrassment.content.1.questions.0.answer.1.text,More information on these and other steps and on different kinds of sexual harassment and workplace violence can be found here:
faq.categories.sexual-harrassment.content.1.questions.0.answer.2.text,{0}
faq.categories.sexual-harrassment.content.1.questions.0.answer.2.links.0.text,General information
faq.categories.sexual-harrassment.content.1.questions.0.answer.2.links.0.link,https://www.womenslaw.org/about-abuse/workplace/all
faq.categories.sexual-harrassment.content.1.questions.0.answer.3.text,{0}
faq.categories.sexual-harrassment.content.1.questions.0.answer.3.links.0.text,Filing for a workplace restraining order in California
faq.categories.sexual-harrassment.content.1.questions.0.answer.3.links.0.link,https://www.womenslaw.org/laws/ca/restraining-orders/workplace-violence-restraining-orders
faq.categories.sexual-harrassment.content.1.questions.1.question,Can I get time off from work to go to court or to get resources and/or support?
