translation_id,ko
category.legal_resources,법률 자원
category.medical_resources,의료 자원
category.mental_health_resources,정신과 자원
county.alameda,알라메다 카운티
county.anywhere,어디서나
county.contra-costa,콘트라 코스타 카운티
county.marin,마린 카운티
county.napa,나파 카운티
county.san-francisco,샌프란시스코 카운티
county.san-mateo,산 마테오 카운티
county.santa-clara,산타 클라라 카운티
county.solano,솔라노 카운티
county.sonoma,소노마 카운티
county.monterey,몬트레이 카운티
label.open_today,오늘 영업합니다
label.pay_phone,전화해서 EBT로 지불하기
label.safe_pick_up,안전하게 픽업하는 옵션
label.zoom_out_for_more_results,"더 많은결과를 보려면, 화면을 축소하세요"
legal.general_info,일반 안네사항
legal.legal_assistance,법적 도움
label.in_person,대면 진료
medical.telehealth,화상 진료
mental.in_person,대면 도움
label.telehealth,화상 도움
message.no_location_in_this_area,결과가 없습니다
sidebar.current_location,현재 장소
sidebar.what,자원 ...
sidebar.what-are-you-looking-for,무엇을 찿고 있습니까?
sidebar.where,근처...
legal.legal_criminal,사법부 도움
legal.legal_domviolence,가정 퐁력 도움
legal.legal_worker_protection,노동자 권리 도움
legal.legal_healthcare,의료 특혜 도움
legal.legal_housing,주택 지원 도움
legal.legal_immigration,이주 도움
about.front-page.p1,환영합니다!
about.front-page.p2,"무료급식, 식품, 법률 과 의료 도움 정보 를 제공합니다."
about.front-page.p3,시작하기위에 현재장소 와 찾는것을 입력하세요.
about.front-page.p4.text,"저희는 스텐포드의 {0} 과 {1}에 소속 되어 있으며 특별히 빌 버맨, 사라 알트만 쉘리 필립스의 계속적인 지원과 조언에 진심으로 감사 드립니다."
about.front-page.p4.link0,데이터 챌린지 랩
about.front-page.p4.link1,빅 로컬 뉴스
about.about-us-sources,"저희 데이터 정보들은 아래의 조직으로부터 제공되었습니다.  USDA SNAP 가게 위치 추적기
USDA WIC 가게 위치추적기
Second Harvest of Silicon Valley
Stanford Pediatric Advocacy"
about.about-us-contact,추가 자료 제공 또는 부정확한 정보 혹은 다른 문의 사항이 있으시면 {0} 으로 연락 바랍니다.
about.about-us-contact.link0,baycommunityresource@gmail.com
about.about-us-disclaimer,이 베이지역 자료 프로젝트는 순수한 자원 봉사 입니다. 저희들은  여러 다양한 정보로 부터 자료를 모집하여 선별작업을 하는 팀 입니다. 저희들은 최선을 다해 모든 정보들이 가장 최근으로 유지 될수 있도록 하고 있습니다. 하지만 모든 정보가 100% 정확 하다고 보장을 할 수 는 없습니다.
about.about-us.header,우리에 대해
about.about-us.p1.text,"저희는 자원봉사자로 지역사회에 코로나 위기에 대해 공적자원에 접근할수 있도록 정보를 제공하는 프로젝트를 하고 있습니다. 이프로젝트는 {0} 에서 부터 시작 해서 현재는 베이 지역에 학교 무료 급식 지도제공으로 시작 해서 지금은 더 자세한 사항들, 예를 들면 위치정보, 무료배급시간, 급식 보조 , 법률, 의료지원등 을 제공 합니다. 우리는 {1} 조직의 일원입니다."
about.about-us.p1.link1,unBox
about.about-us.p1.link0,베이 지역 음식제공 학교 지도
about.about-us.p2.text,이 프로젝트의 개발은 {0} 에서 적용되였습니다.
about.about-us.p2.link,NCCovid Support
about.about-us.p3.text,저의 프로젝트에대한 더 자세한 정보 또는 유사 프로젝트 를 만들기 위한 소스 코드를 원하시면 {0} 으로 가세요.
about.about-us.p3.link,Github 페이지
about.info-sources.header,정보 출처
about.info-sources.p1,저희 데이터 정보들은 아래의 조직으로부터 제공되었습니다.
about.info-source.link1,USDA SNAP 가게 위치추적기
about.info-source.link2,USDA WIC 가게 위치추적기
about.info-source.link3,Second Harvest of Silicon Valley
about.info-source.link4,스탠포드 소아과 옹호
about.info-source.link5,버클리 생태 센터
about.info-sources.p2,"저희들은 추가적인 코로나 -19로 인한 연장자 전용 시간 , 안전한 가게앞 픽업 옵션등의 정보를 을 소집하고 확인하는일 해주는  훌룡한 자원 봉사 팀을 보유 하고 있습니다."
about.contact-us.header,문의하기
about.contact-us.p1.text,추가 자료 제공 또는 부정확한 정보 혹은 다른 문의 사항이 있으시면 {0} 으로 연락 바랍니다.
about.contact-us.p1.link,baycommunityresource@gmail.com
about.contact-us.contact-us-header,여기에서 저희에게 연락하십시오
about.disclaimer.header,면책 조항
about.disclaimer.p,이 베이지역 자료 프로젝트는 순수한 자원 봉사 입니다. 저희들은  여러 다양한 정보로 부터 자료를 모집하여 선별작업을 하는 팀 입니다. 저희들은 최선을 다해 모든 정보들이 가장 최근으로 유지 될수 있도록 하고 있습니다. 하지만 모든 정보가 100% 정확 하다고 보장을 할 수 는 없습니다.
message.no_location_meet_these_criteria,결과가 없습니다.
about.spthanks.p,저의 사이트를 지원하신 {0} 과 {1} 에게 특별히 감사드립니다.
about.spthanks.link0,CARTO
about.spthanks.link1,Mapbox
about.our-team.header,우리 팀
about.our-team.sourcing,자료제공 및 번역:
about.our-team.dev,정보기술 및 개발:
about.our-team.resource,자료 코디네이터
about.our-team.translate,번역가
about.our-team.dqual,정보의 질
about.our-team.internal-community,내부 커뮤니티
about.our-team.projl,프로젝트 선임자
about.our-team.devlead,게발 선임자
about.our-team.dqlead,정보의 질 선임자
sidebar.feedback,피드백
about.dataaccess.header,데이터 접근
about.dataaccess.p,우리의 데이터를 오픈 프로젝트로 {0} 에서 접속 가능합니다 (로그인 필요 합니다).
about.dataaccess.link,Big Local News
message.loading,로딩중...
message.ie_compatibility,이 웹사이트는 인터넷 익스플러러에 최적화 되어 있지 않아서 기능이 작동되지 않을수 있습니다.  모든 기능을 사용 하시려면 다른 부라우져를 사용해 주세요( 예 모질라 화이어 폭스)
message.area_not_covered,이지역은 지원을 하지 않습니다.
label.zipcode,우편번호
message.select_resource,자료를 선택해 주세요.
message.provide_zip,우편번호를 넣어 주세요.
message.error_getting_zip,우편번호에 오류가 있습니다. 다시 입력해 주세요
label.suggest_an_edit,수정제안
edit.intro,아래의 양식에 이지역의 정보를 업데이트 해주시기 바랍니다. 이곳의 정보를 최근으로 계속 유지 할수 있도록 도움 주셔서 감사 드립니다.
edit.thanks,사용자의 수정내용을 받았습니다. 감사 합니다.
edit.provider_name,제공자 이름
edit.location_name,지역명
edit.website,웹사이트
edit.opening_hours,영업시간
edit.senior_hours,연장자 지정 시간
edit.additional_info,추가 정보
edit.additional_info_text,이외의  누락되거나 변경해야 하거나 표기해야 할 사항들이 있습니까?
edit.additional_info_placeholder,"새로운 세비스, 지역이 영구히 문을 닫았습니다., 연장자 지정 쇼핑 시간..."
label.reset,재설정
label.submit,제출
edit.no_edit,변경 사항이 없습니다.
edit.submission_error,"양식제출중 오류가 발생했습니다, 다시 시도 하시거나 baycommunityresource@gmail.com 로 연락 바랍니다."
pebt.header,무료급식이나 급식보조대상 학생들을 위한  음식서비스
pebt.lead,7월15일까지 P-EBT 를 지원하세요.
pebt.link,지금 지원 하세요.
pebt.link_url,https://ca.p-ebt.org/en/
category.healthcare,보건의료
label.last_updated,세부사항은 최종적으로 업데이트 됬습니다.
message.error_loading_results,오류가 있습니다. 다시 시도 해주세요.
ux_study.text_main,현재 가장 중요한 사항에 대해 자세히 알아보고 웹 사이트를 개선하는 방법에 대한 의견을 받고 싶습니다.
ux_study.link_text,지금 등록하세요.
ux_study.link_url,https://bit.ly/bac-interviews
ux_study.text_sub,인터뷰 대상자로 선정되면 모든 세션은 전화 / 화상 채팅을 통해 원격으로 진행되며 시간을 보상 해드립니다.
ux_study.header,더 나은 서비스를 제공하도록 도와주세요.
label.in_store_pickup,테이크 아웃
label.delivery,배달
label.catering,케이터링
label.dv_legal,가정 폭력에 대한 법적 지원
label.dv_housing,가정 폭력에 대한 주택 지원
label.dv_medical,가정 폭력에 대한 의료 지원
label.dv_crisis,가정 폭력에 대한 위기 지원
category.dv_resources,가정 폭력 자료
label.dv_mental_health,가정 폭력에 대한 정신 건강 지원
label.apply,필터 적용
label.filters,필터
category.eviction_resources,퇴거 자원
category.bob,흑인 소유 레스토랑
