translation_id,zh
legal.legal_housing,住所问题协助
legal.legal_immigration,移民问题协助
about.front-page.p1,你好！
about.front-page.p2,我们提供包括免费餐，食物，法律协助和医疗协助资源的有关信息。
about.front-page.p3,开始检索，请选择你的位置和你想要找的资源。
about.front-page.p4.text,"我们隶属于斯坦福  {0} 和 {1} , 我们很感谢Bill Behrman, Sara Altman, and Cheryl Phillips 对我们给予的帮助和指导。"
about.front-page.p4.link0,数据挑战实验室
about.front-page.p4.link1,重大当地新闻
about.about-us-sources,"我们的资源库受益于以下机构收集来的信息：USDA SNAP 商店位置检索
USDA WIC 商店位置检索
硅谷 Second Harvest
斯坦福 Pediatric Advocacy
我们有一支志愿者队伍来核对和收集更多跟COVID-19有关的信息，包括老人时间段，街边递送服务等。"
about.about-us-contact,如果有任何关于增添数据或者数据不准确的信息，请联系 {0}.
about.about-us-contact.link0,baycommunityresource@gmail.com
about.about-us-disclaimer,这个湾区资源项目全部是有志愿者完成的。我们有一支志愿者队伍搜集和核对信息。我们尽最大能力确保信息时效性，但是我们无法保证信息100%准确。
about.about-us.header,关于我们
about.about-us.p1.text,我们由志愿者协助完成的资源公共享的项目为我们的社区提供所需资源的信息来帮助度过COVID-19疫情的难关。我们项目从 {0} 开始，现在提供更全面的资源信息，包括免费餐，食物，法律协助和医疗协助等资源的开放时间和地点。这个项目最初借鉴了NC的COVID-19协助。你也在github上寻找到更多关于我们项目的信息，包括我们的程序编码。我们是{1}组织的一部分。
about.about-us.p1.link1,unBox
about.about-us.p1.link0,湾区学校用餐地图
about.about-us.p2.text,我们项目最初借鉴了 {0} 。
about.about-us.p2.link,NCCovid Support
about.about-us.p3.text,你也在 {0} 上寻找到更多关于我们项目的信息，包括我们的程序编码。
about.about-us.p3.link,github网页
about.info-sources.header,信息资源
about.info-sources.p1,我们的资源库受益于以下机构收集来的信息
about.info-source.link1,USDA SNAP 商店位置检索
about.info-source.link2,USDA WIC 商店位置检索
about.info-source.link3,硅谷 Second Harvest
about.info-source.link4,斯坦福 Pediatric Advocacy
about.info-source.link5,伯克利生态环保中心
about.info-sources.p2,我们有一支志愿者队伍进行资源的征集和核对，其中包裹跟Covid-19 有关信息，比如老人时间段，街边安全递送等信息。
about.contact-us.header,联系我们
about.contact-us.p1.text,如果有关于数据增添和准确性方面的问题，或者任何其他方面的问题，请{0}。
about.contact-us.p1.link,baycommunityresource@gmail.com
about.contact-us.contact-us-header,这里联系我们
about.disclaimer.header,免责声明
about.disclaimer.p,这个湾区资源项目全部是有志愿者完成的。我们有一支志愿者队伍搜集和核对信息。我们尽最大能力确保信息时效性，但是我们无法保证信息100%准确。
message.no_location_meet_these_criteria,这些标准哪没有结果。
about.spthanks.p,特别感谢{0} 和{1} 为我们的网站提供的帮助。
about.spthanks.link0,CARTO
about.spthanks.link1,Mapbox
about.our-team.header,我们的队伍
about.our-team.sourcing,数据收集和翻译
about.our-team.dev,数据工程师
about.our-team.resource,资源协调员
about.our-team.translate,翻译员
about.our-team.dqual,数据质量
about.our-team.internal-community,内部社区
about.our-team.projl,项目负责人
about.our-team.devlead,开发负责人
about.our-team.dqlead,数据质量负责人
sidebar.feedback,反馈
about.dataaccess.header,获取我们的数据
about.dataaccess.p,你可以通过项目共享 {0} 来获取数据（需要登录）。
about.dataaccess.link,Big Local News
message.loading,下载中
message.ie_compatibility,IE 浏览器可能不支持我们的网站。为了更好的体验，请用其他浏览器（比如）
message.area_not_covered,我们不覆盖这个地区
label.zipcode,邮编
message.select_resource,选择一种资源
message.provide_zip,提供一个邮编
message.error_getting_zip,输入邮编有误，请重试
label.suggest_an_edit,提供编辑建议
edit.intro,请更新以下的地址的信息。我们非常感谢您能帮助我们确保信息更新。
edit.thanks,我们收到了你的编辑。谢谢！
edit.provider_name,提供者名称
edit.location_name,地点名称
edit.website,网页
edit.opening_hours,开放时间
edit.senior_hours,老年人时间
edit.additional_info,其他信息
edit.additional_info_text,其他忽略的信息，需要更改或者展示的信息？
edit.additional_info_placeholder,新的服务， 地址永久关闭，老年人购买时间
label.reset,重制
label.submit,提交
edit.no_edit,没有变化
edit.submission_error,提交错误，请重试或者通过baycommunityresource@gmail.com.联系我们。
pebt.header,为免费或者优惠获取食物的孩子提供的食物福利
pebt.lead,七月15日前申请P-EBT
pebt.link,立即申请
pebt.link_url,https://ca.p-ebt.org/zh
category.healthcare,医疗
label.last_updated,细节最近更新
message.error_loading_results,有错误，请重试
ux_study.text_main,我们想了解目前你最在意的问题以及我们可以改进的方面
ux_study.link_text,现在报名
ux_study.link_url,https://bit.ly/bac-interviews
ux_study.text_sub,如果你被选为采访对象，所有采访都会远程通过电话或视频的方式进行，并且我们会对你进行有偿补贴。
ux_study.header,帮我们为您提供更好的服务。
label.in_store_pickup,打包
label.delivery,送货上门
label.catering,提供餐饮
label.dv_legal,家庭暴力法律支持
label.dv_housing,家庭暴力住房支持
label.dv_medical,家庭暴力医疗支持
label.dv_crisis,家庭暴力危机支持
category.dv_resources,家庭暴力帮助
label.dv_mental_health,家庭暴力帮助心理健康支持
label.apply,过滤选项
label.filters,过滤
category.eviction_resources,驱逐住房帮助
category.bob,黑人所属餐馆
faq.title,住房对家庭暴力的支持
