translation_id,ms
label.suggest_an_edit,Sila beri cadangan
edit.intro,Sila kemas kini maklumat untuk lokasi ini dalam borang di bawah. Kami amat menghargai bantuan anda untuk mengemaskini maklumat kami.
edit.thanks,Kami telah mendapatkan cadangan kemas kini anda. Terima kasih!
edit.provider_name,Nama penyedia
edit.location_name,Nama tempat
edit.website,Laman web penyedia
edit.opening_hours,Waktu buka
edit.senior_hours,Waktu warga emas
edit.additional_info,Maklumat tambahan
edit.additional_info_text,"Ada apa lagi maklumat yang hilang, perlu diubah atau mesti dipaparkan?"
edit.additional_info_placeholder,"Perkhidmatan baru, lokasi ditutup secara kekal, waktu membeli-belah warga emas ..."
label.reset,Kosongkan semula
label.submit,Hantarkan
edit.no_edit,Tiada apa yang berubah.
edit.submission_error,Terdapat ralat semasa penghantaran borang. Sila cuba lagi atau hubungi kami di baycommunityresource@gmail.com.
pebt.header,Faedah makanan untuk kanak-kanak yang mendapat makanan percuma atau dengan diskaun di sekolah.
pebt.lead,Buat permohonan untuk P-EBT selewat-lewatnya pada 15 Julai.
pebt.link,Mohon sekarang
pebt.link_url,https://ca.p-ebt.org/en/
label.last_updated,Maklumat dikemaskini:
ux_study.header,Tolong kami tolong kamu.
label.in_store_pickup,Bawa pulang
label.delivery,Hantaran barang
label.catering,Katering
label.dv_legal,Sokongan legal
label.dv_housing,Sokongan perumahan
label.dv_medical,Sokongan medikal
label.dv_crisis,Sokongan krisis
category.dv_resources,Sokongan mangsa penderaan domestik
label.dv_mental_health,Sokongan kesihatan mental
DO NOT TRANSLATE FROM HERE DOWN,DO NOT TRANSLATE FROM HERE DOWN
