,site_name,address,city,long,lat,county,lat_gmaps,lng_gmaps,hours,zipcode,phone,website,status
18,Phnom Penh Market,2365 Mckee Rd,San Jose,-121.84881000000001,37.366325,Santa Clara,37.3676716,-121.8480972,"Monday: 9:00 AM – 7:00 PM
Tuesday: 9:00 AM – 7:00 PM
Wednesday: 9:00 AM – 7:00 PM
Thursday: 9:00 AM – 7:00 PM
Friday: 9:00 AM – 7:00 PM
Saturday: 9:00 AM – 7:00 PM
Sunday: 9:00 AM – 7:00 PM",95116,(408) 655-1091,No website listed,OPERATIONAL
19,Baby Nutritional Care 106,7500 Arroyo Cir,Gilroy,-121.55774,37.011906,Santa Clara,37.012111,-121.558675,"Monday: 8:00 AM – 7:30 PM
Tuesday: 8:00 AM – 7:30 PM
Wednesday: 8:00 AM – 7:30 PM
Thursday: 8:00 AM – 7:30 PM
Friday: 8:00 AM – 7:30 PM
Saturday: 9:00 AM – 5:00 PM
Sunday: 10:00 AM – 4:00 PM",95020,(408) 847-1011,No website listed,OPERATIONAL
20,Friends Food & Liqour,343 E 10th St,Gilroy,-121.56218,37.001373,Santa Clara,37.0023993,-121.5621852,"Monday: 8:30 AM – 10:30 PM
Tuesday: 8:30 AM – 10:30 PM
Wednesday: 8:30 AM – 10:30 PM
Thursday: 8:30 AM – 10:30 PM
Friday: 8:30 AM – 11:00 PM
Saturday: 8:00 AM – 11:00 PM
Sunday: 8:00 AM – 11:00 PM",95020,(408) 848-4200,No website listed,OPERATIONAL
21,Walmart Neighborhood Market 2486,4080 Stevens Creek Blvd,San Jose,-121.97323,37.323132,Santa Clara,37.3216605,-121.9732084,"Monday: 7:00 AM – 8:30 PM
Tuesday: 7:00 AM – 8:30 PM
Wednesday: 7:00 AM – 8:30 PM
Thursday: 7:00 AM – 8:30 PM
Friday: 7:00 AM – 8:30 PM
Saturday: 7:00 AM – 8:30 PM
Sunday: 7:00 AM – 8:30 PM",95129,(408) 556-4505,https://www.walmart.com/store/2486/san-jose-ca/details,OPERATIONAL
22,One Stop Market,1493 E Bayshore Rd,East Palo Alto,-122.14421999999999,37.462875,Santa Clara,37.4630579,-122.1443,"Monday: 6:00 AM – 11:00 PM
Tuesday: 6:00 AM – 11:00 PM
Wednesday: 6:00 AM – 11:00 PM
Thursday: 6:00 AM – 11:00 PM
Friday: 6:00 AM – 11:00 PM
Saturday: 6:00 AM – 12:00 AM
Sunday: 8:00 AM – 11:00 PM",94303,(650) 321-4146,No website listed,OPERATIONAL
23,PANADERIA ORTIZ BAKERY,3826 7 Trees Blvd,San Jose,-121.83521,37.283997,Santa Clara,37.2841629,-121.8333194,"Monday: 5:00 AM – 10:00 PM
Tuesday: 5:00 AM – 10:00 PM
Wednesday: 5:00 AM – 10:00 PM
Thursday: 5:00 AM – 10:00 PM
Friday: 5:00 AM – 10:00 PM
Saturday: 5:00 AM – 10:00 PM
Sunday: 5:00 AM – 10:00 PM",95111,(408) 225-5013,No website listed,OPERATIONAL
24,7-Eleven 27768B,708 N Fair Oaks Ave,Sunnyvale,-122.01416,37.39151,Santa Clara,37.3915197,-122.0138034,"Monday: Open 24 hours
Tuesday: Open 24 hours
Wednesday: Open 24 hours
Thursday: Open 24 hours
Friday: Open 24 hours
Saturday: Open 24 hours
Sunday: Open 24 hours",94085,(408) 530-8290,https://www.7-eleven.com/locations/ca/sunnyvale/708-n-fair-oaks-ave-27768?yext=27768,OPERATIONAL
25,Morgan Hill Farmers Market,17300 Depot St,Morgan Hill,-121.65065,37.129078,Santa Clara,37.1294008,-121.6507477,"Monday: Closed
Tuesday: Closed
Wednesday: Closed
Thursday: Closed
Friday: Closed
Saturday: 9:00 AM – 1:00 PM
Sunday: Closed",95037,(800) 806-3276,http://www.cafarmersmkts.com/morgan-hill-farmers-market/,OPERATIONAL
26,Safeway 2948,645 San Antonio Rd,Mountain View,-122.11295,37.402306,Santa Clara,37.40218399999999,-122.1118716,"Monday: 5:00 AM – 11:00 PM
Tuesday: 5:00 AM – 11:00 PM
Wednesday: 5:00 AM – 11:00 PM
Thursday: 5:00 AM – 11:00 PM
Friday: 5:00 AM – 11:00 PM
Saturday: 5:00 AM – 11:00 PM
Sunday: 5:00 AM – 11:00 PM",94040,(650) 948-4533,https://local.safeway.com/safeway/ca/mountain-view/645-san-antonio-rd.html?utm_source=G&utm_medium=Maps&utm_campaign=G+Places,OPERATIONAL
27,SAFEWAY  1574,4950 Almaden Expy,San Jose,-121.87623,37.260216,Santa Clara,37.260175,-121.874711,"Monday: 5:00 AM – 11:00 PM
Tuesday: 5:00 AM – 11:00 PM
Wednesday: 5:00 AM – 11:00 PM
Thursday: 5:00 AM – 11:00 PM
Friday: 5:00 AM – 11:00 PM
Saturday: 5:00 AM – 11:00 PM
Sunday: 5:00 AM – 11:00 PM",95118,(408) 267-1200,https://local.safeway.com/safeway/ca/san-jose/4950-almaden-expy.html?utm_source=G&utm_medium=Maps&utm_campaign=G+Places,OPERATIONAL
28,7 Eleven Store 2367 39747A,1031 Leigh Ave,San Jose,-121.92156999999999,37.306129,Santa Clara,37.3058609,-121.921919,"Monday: Open 24 hours
Tuesday: Open 24 hours
Wednesday: Open 24 hours
Thursday: Open 24 hours
Friday: Open 24 hours
Saturday: Open 24 hours
Sunday: Open 24 hours",95126,(408) 292-7676,https://www.7-eleven.com/locations/ca/san-jose/1031-leigh-ave-39747?yext=39747,OPERATIONAL
29,Mexico Bakery Inc. 1,2811 Story Rd,San Jose,-121.82406999999999,37.352856,Santa Clara,37.353252,-121.8243489,"Monday: 5:00 AM – 10:00 PM
Tuesday: 5:00 AM – 10:00 PM
Wednesday: 5:00 AM – 10:00 PM
Thursday: 5:00 AM – 10:00 PM
Friday: 5:00 AM – 10:00 PM
Saturday: 5:00 AM – 10:00 PM
Sunday: 6:00 AM – 10:00 PM",95127,(408) 272-3838,https://mexico-bakery.business.site/,OPERATIONAL
30,7-Eleven 39411A,3145 S Bascom Ave,Campbell,-121.94083,37.266552000000004,Santa Clara,37.266802,-121.9410338,"Monday: Open 24 hours
Tuesday: Open 24 hours
Wednesday: Open 24 hours
Thursday: Open 24 hours
Friday: Open 24 hours
Saturday: Open 24 hours
Sunday: Open 24 hours",95008,(408) 377-1831,http://www.7-eleven.com/?yext=39411,OPERATIONAL
31,Apna Bazar,1111 W El Camino Real,Sunnyvale,-122.05346999999999,37.373154,Santa Clara,37.3735964,-122.0523471,"Monday: Open 24 hours
Tuesday: Open 24 hours
Wednesday: Open 24 hours
Thursday: Open 24 hours
Friday: Open 24 hours
Saturday: Open 24 hours
Sunday: Open 24 hours",94087,(408) 746-5966,http://www.apnabazar.com/,OPERATIONAL
32,Great America Shell 172,5390 Great America Pkwy,Santa Clara,-121.97781,37.410065,Santa Clara,37.4100694,-121.9781087,"Monday: Open 24 hours
Tuesday: Open 24 hours
Wednesday: Open 24 hours
Thursday: Open 24 hours
Friday: Open 24 hours
Saturday: Open 24 hours
Sunday: Open 24 hours",95054,(408) 982-9040,https://find.shell.com/us/fuel/10013534-5390-great-america-pkwy,OPERATIONAL
33,Lion Foods Llc,2217 Quimby Rd,San Jose,-121.81143,37.32325,Santa Clara,37.3237537,-121.8100944,"Monday: 8:00 AM – 9:00 PM
Tuesday: 8:00 AM – 9:00 PM
Wednesday: 8:00 AM – 9:00 PM
Thursday: 8:00 AM – 9:00 PM
Friday: 8:00 AM – 9:00 PM
Saturday: 8:00 AM – 9:00 PM
Sunday: 8:00 AM – 9:00 PM",95122,(408) 270-8288,http://www.frescosupermarket.com/,OPERATIONAL
34,Quick N Easy,8429 Murray Ave,Gilroy,-121.56958999999999,37.022015,Santa Clara,37.0220166,-121.5701575,No hours listed,95020,(408) 847-4543,No website listed,OPERATIONAL
35,Mi Ranchito Produce,259 E Maude Ave,Sunnyvale,-122.02386000000001,37.38755,Santa Clara,37.3878606,-122.0238026,"Monday: 7:00 AM – 9:00 PM
Tuesday: 7:00 AM – 9:00 PM
Wednesday: 7:00 AM – 9:00 PM
Thursday: 7:00 AM – 9:00 PM
Friday: 7:00 AM – 9:00 PM
Saturday: 7:00 AM – 9:00 PM
Sunday: 7:00 AM – 9:00 PM",94085,(408) 245-1500,No website listed,OPERATIONAL
36,Nob HIll 636,3555 Monroe St,Santa Clara,-121.99441999999999,37.36692,Santa Clara,37.367119,-121.994982,"Monday: 6:00 AM – 11:00 PM
Tuesday: 6:00 AM – 11:00 PM
Wednesday: 6:00 AM – 11:00 PM
Thursday: 6:00 AM – 11:00 PM
Friday: 6:00 AM – 11:00 PM
Saturday: 6:00 AM – 11:00 PM
Sunday: 6:00 AM – 11:00 PM",95051,(408) 557-0115,https://www.raleys.com/stores/nob-hill-foods-monroe-santa-california/,OPERATIONAL
37,Lunardi's Market 10,2666 S Bascom Ave,San Jose,-121.93471000000001,37.273472,Santa Clara,37.2730593,-121.9344811,"Monday: 7:00 AM – 7:00 PM
Tuesday: 7:00 AM – 7:00 PM
Wednesday: 7:00 AM – 7:00 PM
Thursday: 7:00 AM – 7:00 PM
Friday: 7:00 AM – 7:00 PM
Saturday: 7:00 AM – 7:00 PM
Sunday: 7:00 AM – 7:00 PM",95124,(408) 377-6661,https://www.lunardis.com/,OPERATIONAL
38,Lundy Liquor Inc,964 Lundy Ave,San Jose,-121.87272,37.373585,Santa Clara,37.3732829,-121.8719672,"Monday: 8:00 AM – 11:00 PM
Tuesday: 8:00 AM – 11:00 PM
Wednesday: 8:00 AM – 11:00 PM
Thursday: 8:00 AM – 11:00 PM
Friday: 8:00 AM – 11:30 PM
Saturday: 8:00 AM – 11:30 PM
Sunday: 8:00 AM – 11:00 PM",95133,(408) 923-2900,No website listed,OPERATIONAL
39,7-Eleven 23866 E,780 N Winchester Blvd,San Jose,-121.9502,37.329781,Santa Clara,37.32957150000001,-121.9497479,"Monday: Open 24 hours
Tuesday: Open 24 hours
Wednesday: Open 24 hours
Thursday: Open 24 hours
Friday: Open 24 hours
Saturday: Open 24 hours
Sunday: Open 24 hours",95128,(408) 985-2916,https://www.7-eleven.com/locations/ca/san-jose/780-n.-winchester-blvd-23866?yext=23866,OPERATIONAL
40,Stop-N-Buy 2,175 S Capitol Ave,San Jose,-121.83323999999999,37.359715,Santa Clara,37.359354,-121.833531,"Monday: 9:00 AM – 12:00 AM
Tuesday: 9:00 AM – 12:00 AM
Wednesday: 9:00 AM – 12:00 AM
Thursday: 9:00 AM – 12:00 AM
Friday: 9:00 AM – 12:00 AM
Saturday: 9:00 AM – 12:00 AM
Sunday: 9:00 AM – 12:00 AM",95127,(408) 251-6786,http://www.stopnbuysanjose.com/,OPERATIONAL
41,Chevron 1776,1151 Tully Rd,San Jose,-121.83707,37.314934,Santa Clara,37.3153731,-121.8373329,"Monday: Open 24 hours
Tuesday: Open 24 hours
Wednesday: Open 24 hours
Thursday: Open 24 hours
Friday: Open 24 hours
Saturday: Open 24 hours
Sunday: Open 24 hours",95122,(408) 286-0406,http://www.chevronwithtechron.com/station/1151-Tully-Rd-San-Jose-CA-95122-id92780,OPERATIONAL
42,First Mart,3730 N 1st St,San Jose,-121.94627,37.410545,Santa Clara,37.41093790000001,-121.9461564,No hours listed,95134,(408) 435-8424,No website listed,OPERATIONAL
43,Hyde Park U Save Liquors,1330 N 1st St,San Jose,-121.90861000000001,37.360668,Santa Clara,37.36079850000001,-121.9083413,"Monday: 8:00 AM – 11:00 PM
Tuesday: 8:00 AM – 11:00 PM
Wednesday: 8:00 AM – 11:00 PM
Thursday: 8:00 AM – 11:00 PM
Friday: 8:00 AM – 11:00 PM
Saturday: 8:00 AM – 11:00 PM
Sunday: 8:00 AM – 11:00 PM",95112,(408) 453-3035,No website listed,OPERATIONAL
44,Familia Foods,3851 7 Trees Blvd,San Jose,-121.83305,37.283607,Santa Clara,37.28348359999999,-121.8337824,"Monday: 9:30 AM – 9:30 PM
Tuesday: 9:30 AM – 9:30 PM
Wednesday: 9:30 AM – 9:30 PM
Thursday: 9:30 AM – 7:00 PM
Friday: 9:30 AM – 9:30 PM
Saturday: 9:30 AM – 9:30 PM
Sunday: 11:00 AM – 7:00 PM",95111,(408) 227-8725,https://familia-foods-market.business.site/,OPERATIONAL
45,Taj Mahal 2,933 E Duane Ave,Sunnyvale,-122.00334,37.388447,Santa Clara,37.389282,-122.00345,"Monday: 9:00 AM – 9:00 PM
Tuesday: 9:00 AM – 9:00 PM
Wednesday: 9:00 AM – 9:00 PM
Thursday: 9:00 AM – 9:00 PM
Friday: 9:00 AM – 9:00 PM
Saturday: 9:00 AM – 9:00 PM
Sunday: 9:00 AM – 9:00 PM",94085,(408) 962-0477,http://www.tajmahalfreshmarket.com/,OPERATIONAL
46,El Charrito Market,7638 Monterey St,Gilroy,-121.57033999999999,37.010567,Santa Clara,37.01039719999999,-121.5701507,"Monday: 8:00 AM – 7:00 PM
Tuesday: 8:00 AM – 7:00 PM
Wednesday: 8:00 AM – 7:00 PM
Thursday: 8:00 AM – 7:00 PM
Friday: 8:00 AM – 7:00 PM
Saturday: 8:00 AM – 7:00 PM
Sunday: 8:00 AM – 7:00 PM",95020,(408) 842-3659,https://www.elcharritomarket.com/,OPERATIONAL
47,MY GOODS MARKET 5442,7022 Santa Teresa Blvd,San Jose,-121.77631000000001,37.226555,Santa Clara,37.2784393,-121.8350216,No hours listed,95111,(408) 225-7313,http://www.mygoodsmarket.com/,OPERATIONAL
48,Safeway 3241,950 W Hamilton Ave,Campbell,-121.96651999999999,37.294125,Santa Clara,37.293147,-121.9666983,"Monday: 5:00 AM – 11:00 PM
Tuesday: 5:00 AM – 11:00 PM
Wednesday: 5:00 AM – 11:00 PM
Thursday: 5:00 AM – 11:00 PM
Friday: 5:00 AM – 11:00 PM
Saturday: 5:00 AM – 11:00 PM
Sunday: 5:00 AM – 11:00 PM",95008,(408) 871-1272,https://local.safeway.com/safeway/ca/campbell/950-w-hamilton-ave.html?utm_source=G&utm_medium=Maps&utm_campaign=G+Places,OPERATIONAL
49,Silver Creek Shell 178,5801 Silver Creek Valley Rd,San Jose,-121.7795,37.276684,Santa Clara,37.256308,-121.7917152,No hours listed,95138,(408) 238-7348,https://find.shell.com/us/fuel/12616028-5801-silver-creek-valley-rd,OPERATIONAL
50,Indo-pak Halal Market,1729 Berryessa Rd,San Jose,-121.87248000000001,37.374538,Santa Clara,37.3752263,-121.8733858,"Monday: 12:00 – 7:00 PM
Tuesday: Closed
Wednesday: 12:00 – 7:00 PM
Thursday: 12:00 – 7:00 PM
Friday: 12:00 – 7:00 PM
Saturday: 12:00 – 7:00 PM
Sunday: 12:00 – 7:00 PM",95133,(408) 729-4929,No website listed,OPERATIONAL
51,FOOD MAXX  460,1539 Parkmoor Ave,San Jose,-121.91488000000001,37.316708,Santa Clara,37.3175178,-121.9161459,"Monday: 6:00 AM – 12:00 AM
Tuesday: 6:00 AM – 12:00 AM
Wednesday: 6:00 AM – 12:00 AM
Thursday: 6:00 AM – 12:00 AM
Friday: 6:00 AM – 12:00 AM
Saturday: 6:00 AM – 12:00 AM
Sunday: 6:00 AM – 12:00 AM",95128,(408) 287-5377,http://locations.foodmaxx.com/ll/US/CA/San-Jose/1539-Parkmoor-Avenue,OPERATIONAL
52,Neighborhood Gas Mart,8445 Cabrillo Hwy,Montara,-122.51621000000002,37.541744,Santa Clara,37.5417061,-122.5160627,"Monday: 6:00 AM – 11:00 PM
Tuesday: 6:00 AM – 11:00 PM
Wednesday: 6:00 AM – 11:00 PM
Thursday: 6:00 AM – 11:00 PM
Friday: 6:00 AM – 11:00 PM
Saturday: 6:00 AM – 11:00 PM
Sunday: 6:00 AM – 11:00 PM",94037,(650) 728-5415,No website listed,OPERATIONAL
53,"Lucky 7 King, Inc. 3",398 S King Rd,San Jose,-121.84858999999999,37.345638,Santa Clara,37.34558690000001,-121.8479868,"Monday: 8:00 AM – 8:00 PM
Tuesday: 8:00 AM – 8:00 PM
Wednesday: 8:00 AM – 8:00 PM
Thursday: 8:00 AM – 8:00 PM
Friday: 8:00 AM – 8:00 PM
Saturday: 8:00 AM – 8:00 PM
Sunday: 8:00 AM – 8:00 PM",95116,(408) 254-4500,http://www.lucky7super.com/,OPERATIONAL
54,Rose Market,1250 E Santa Clara St,San Jose,-121.86603000000001,37.347823999999996,Santa Clara,37.34770609999999,-121.8659319,"Monday: 8:00 AM – 9:30 PM
Tuesday: 8:00 AM – 9:30 PM
Wednesday: 8:00 AM – 9:30 PM
Thursday: 8:00 AM – 9:30 PM
Friday: 8:00 AM – 9:30 PM
Saturday: 8:00 AM – 9:30 PM
Sunday: 10:00 AM – 9:30 PM",95116,(408) 998-7124,No website listed,OPERATIONAL
55,Carniceria La Sorpresa,311B Moffett Blvd,Mountain View,-122.07618000000001,37.397888,Santa Clara,37.3977118,-122.0758882,No hours listed,94043,No formatted_phone_number listed,No website listed,No business_status listed
56,Guadalajara Market,829 Borregas Ave,Sunnyvale,-122.02291000000001,37.397022,Santa Clara,37.3970857,-122.0232485,"Monday: 7:00 AM – 8:00 PM
Tuesday: 7:00 AM – 8:00 PM
Wednesday: 7:00 AM – 8:00 PM
Thursday: 7:00 AM – 8:00 PM
Friday: 7:00 AM – 8:00 PM
Saturday: 7:00 AM – 8:00 PM
Sunday: 7:00 AM – 8:00 PM",94085,(408) 734-9621,No website listed,OPERATIONAL
57,Walgreens 689,121 E El Camino Real,Mountain View,-122.07225,37.379921,Santa Clara,37.3792328,-122.0727921,"Monday: 2:00 AM – 1:30 AM
Tuesday: 2:00 AM – 1:30 AM
Wednesday: 2:00 AM – 1:30 AM
Thursday: 2:00 AM – 1:30 AM
Friday: 2:00 AM – 1:30 AM
Saturday: 2:00 AM – 1:30 AM
Sunday: 2:00 AM – 1:30 AM",94040,(650) 961-7555,https://www.walgreens.com/locator/walgreens-121+e+el+camino+real-mountain+view-ca-94040/id=689,OPERATIONAL
58,Paul's Imperio Liquors  2,134 E San Salvador St,San Jose,-121.88336000000001,37.331238,Santa Clara,37.3310781,-121.8832771,"Monday: 8:00 AM – 12:00 AM
Tuesday: 8:00 AM – 12:00 AM
Wednesday: 8:00 AM – 12:00 AM
Thursday: 8:00 AM – 2:00 AM
Friday: 8:00 AM – 2:00 AM
Saturday: 8:00 AM – 2:00 AM
Sunday: 8:00 AM – 12:00 AM",95112,(408) 490-4898,http://www.bevstore.com/,OPERATIONAL
59,Willow Glen Way Market,450 Willow Glen Way,San Jose,-121.88043,37.304005,Santa Clara,37.3039389,-121.880511,"Monday: 8:00 AM – 10:30 PM
Tuesday: 8:00 AM – 10:30 PM
Wednesday: 8:00 AM – 10:30 PM
Thursday: 8:00 AM – 10:30 PM
Friday: 8:00 AM – 11:00 PM
Saturday: 8:00 AM – 11:00 PM
Sunday: 8:00 AM – 8:30 PM",95125,(408) 265-3540,No website listed,OPERATIONAL
60,El dorado Liquor & Market,449 Keyes St,San Jose,-121.86906,37.324139,Santa Clara,37.3244056,-121.8692861,"Monday: 8:00 AM – 1:00 AM
Tuesday: 8:00 AM – 1:00 AM
Wednesday: 8:00 AM – 1:00 AM
Thursday: 8:00 AM – 1:00 AM
Friday: 8:00 AM – 2:00 AM
Saturday: 8:00 AM – 2:00 AM
Sunday: 8:00 AM – 1:00 AM",95112,(408) 297-2666,No website listed,OPERATIONAL
